Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
BA,The University of Adelaide,Adelaide,Bachelor of Arts,"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/barts_bart.html,English,A,Bachelor of Arts with Bachelor of Economics Bachelor of Arts with Bachelor of Music (5 years)Bachelor of Arts with Bachelor of Science Bachelor of International Relations with Bachelor of Arts Bachelor of International Relations with Bachelor of EconomicsBachelor of Media with Bachelor of Arts Bachelor of International Relations with Bachelor of MediaBachelor of Teaching (Middle) with Bachelor of Arts Bachelor of Teaching (Secondary) with Bachelor of ArtsAny Humanities or Social Science program/Bachelor of Laws (5 years)Bachelor of Engineering/Bachelor of Arts* (5 years)*This is a combined program and only a single parchment is awarded,"Diplomat,Linguist,Manager / Business Management,Conservation Scientist,Publishing,Member of Parliament,Parliamentary Adviser,Social Inclusion Officer,Historian,UN Human Rights Officer,Youth Worker,Teacher,Non Government Organisation Worker,Government or Corporate Policy Adviser,Editor,Administrative Assistant,Anthropologist,Market Researcher,Arts Administrator,Author,Banker,Novelist,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of Arts (Advanced),"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/barta_bartadv.html,English,A,"As a member of a small but distinctive community within the wider University, you’ll work to take your knowledge and skills to a higher level. You will:/nAnthropologyArt History and Visual CulturesAustralian StudiesChinese StudiesClassicsCreative WritingCriminologyCultural StudiesDigital HumanitiesEconomicsEducationEnglishFrench StudiesGender StudiesGeography Environment and PopulationGerman StudiesHistoryIndigenous Knowledges and SocietyInternational DevelopmentIndonesian StudiesItalian StudiesJapanese StudiesLinguisticsMathematical SciencesMediaModern Greek StudiesMusicPhilosophyPolitics and International RelationsPsychologySociologySpanish Studies","Linguist,Anthropologist,Author,Parliamentary Adviser,Policy Adviser,Political Adviser,Public Servant,Feature Writer,Government or Corporate Policy Adviser,Manager / Business Management,Non Government Organisation Worker,Diplomat,Foreign Aid Worker,Journalist,Archaeologist,Arts Administrator,Novelist,Columnist,Communications Analyst,Communications Officer,Copywriter,Curator,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of Creative Arts,"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/bca_bcrarts.html,English,A,Our Bachelor of Creative Arts develops individual creativity and knowledge. You will:,"Animator,Author,Music Technologist,Musical Theatre Performer,Musician / Singer,Composer,Recording Artist / Musician,Research and Education,Designer,Producer,Art Director,Arts Administrator,Music Journalist / Music Critic,Curator,Production Assistant,Publishing,Entertainment Industry,Entrepreneur,Film Critic,Film Director,Set Designer,Writer,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of Criminology,"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/bcrim_bcrim.html,English,A,"Our Bachelor of Criminology prepares you to think critically about crime and the criminal justice sector, as you:/nForensic Medicine (minor only)PoliticsPsychologyPublic Health","Counsellor,Police Officer,Statistician,Intelligence Officer,Jury Consultant,Parliamentary Adviser,Parole Officer,Correctional Officer,Court Officer,Crime Analyst,Criminologist,Cyber Defender,Rehabilitation Program Worker,Social Inclusion Officer,Forensic Psychologist,Forensic Scientist,Fraud investigator,Government Policy Advisor,Youth Worker,Judicial Associate,Community Services Officer",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of Environmental Policy and Management,"Faculty of Arts, Languages, and Social Sciences","123,000.0",,AUD,Year,3,Years,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/benvs_benvs.html,English,A,Our Bachelor of Environmental Policy and Management challenges you to make a positive impact. You will:/nAnthropologyArt History and Visual CultureChinese StudiesClassicsCreative WritingCriminologyEnglishFrench StudiesGender StudiesGerman StudiesHistoryIndigenous Knowledges and SocietyIndonesian StudiesInternational DevelopmentItalian StudiesJapanese StudiesLinguisticsModern Greek StudiesMusicPhilosophyPolitics and International RelationsPsychologySociologySpanish Studies,"Parks Management,Conservationist,National Parks / Ranger,Climate and Ecosystem Modeller,Conservation Officer,Corporate Sustainability Professional,Fisheries and Marine Officer,Forester,Strategic Planning Officer,Sustainability Manager,Green Design Professional,Land Resources and Land Care,Corporate Policy Advisor,Science Communicators,Environment Protection Officer,Environmental Compliance Officer,Natural Resource Manager,Natural Resource Planner,Catchment Management,Environmental Consultant,Environmental Management,Environmental Project Officer,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of International Development,"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/bdvst_bdevstud.html,English,A,"We’ll support you in developing the skills, knowledge and attributes needed to make a real and positive difference in the lives of others. You will:/nAnthropologyChinese StudiesFrench StudiesGender StudiesGeography, Environment and PopulationHistoryIndigenous Knowledges and SocietyIndonesian StudiesJapanese StudiesPolitics and International RelationsSpanish Studies","Policy Adviser,Political Adviser,Government or Corporate Policy Adviser,Public Servant,Development Officer,Foreign Affairs,Diplomat,Anthropologist,Ministerial Adviser,Community Development Officer,Humanitarian / Aid Worker,International Aid Agency Employee,International Development Worker,Member of Parliament,Community Outreach Worker,Corporate Policy Advisor,Diplomatic corps,Social Inclusion Officer,UN Human Rights Officer,International Government and Trade Policy Adviser,Workplace Relations Officer,Foreign Aid Worker,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of International Relations,"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/bintr_bintlrel.html,English,A,"In our Bachelor of International Relations you can specialise in international security, global justice, human rights, global governance, rising powers, or global citizenship. In core studies you’ll:/nChinese StudiesFrench StudiesGeography, Environment and PopulationGerman StudiesHistoryIndonesian StudiesInternational BusinessInternational DevelopmentItalian StudiesJapanese StudiesModern Greek StudiesSpanish Studies","Member of Parliament,NGO Policy Officer,Community Development Officer,Community Outreach Worker,Policy Developer,Cultural Heritage Officer,Translator,UN Human Rights Officer,Journalist,Ministerial Adviser,News Presenter,Non Government Organisation Worker,Columnist,Communications Officer,Parliamentary Adviser,Parliamentary Member,Political Adviser,Diplomatic corps,Public Servant,Quarantine Officer,Foreign Affairs,Foreign Aid Worker,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of Languages,"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,Year 12,International Qualifications,IELTS,,One foreign language other than English at SACE level or equivalent,6.5,https://www.adelaide.edu.au//degree-finder/2021/blang_blang.html,English,A,"Our Bachelor of Languages is interactive and immersive. Whether you’ve studied a language to Year 12 level (or equivalent) or are just setting out on your language journey, we offer different streams to cater to your level of knowledge. You will:","Language Recovery Program Officer,Cultural Heritage Officer,UN Human Rights Officer,Indigenous Language Revitalisation Project Officer,Workplace Relations Officer,Diplomat,Interpreter / Translator,Linguist,Broadcaster,Diplomatic corps,Education Coordinator,Public Servant,Quarantine Officer,Foreign Affairs,Foreign Aid Worker,Teacher,Hospitality,Tourism,Translator,Information Officer,Intelligence Officer,International Aid Agency Employee,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of Media,"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/bmedi_bmedia.html,English,A,"Our Bachelor of Media offers ten different specialisations. Depending on your interests, you’ll get chances to:","Market Researcher,Brand Marketer,App Developer,Entertainment Industry,Art Director,Public Relations Officer,Government or Corporate Policy Adviser,Tourism,Animator,CGI Animator,Concept Artist,Content Writer,Photo Journalist,Digital Content Creator,Digital Strategist,Fashion Photographer,Filmmaker,Social Media Strategist,Sound Engineer,VFX Artist,VR Developer,Web Designer,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
BA,The University of Adelaide,Adelaide,Bachelor of Music (Advanced),"Faculty of Arts, Languages, and Social Sciences","105,000.0",,AUD,Year,3,Years,Year 12,International Qualifications,IELTS,,Applicants to the Bachelor of Music (Advanced) with majors in: * Performance - Classical* Performance - Jazz* Performance - Classical Voice* Creative Arts - Sonic Arts* Creative Arts - Popular MusicMust have:* audition/Interview with a minimum score of 90 or above* South Australian Certificate of Education (SACE) or equivalent* musicianship testApplicants to the Bachelor of Music (Advanced) with majors in:* Creative Arts - Composition* Research Studies - Music Education* Research Studies - MusicologyMust have:* ATAR of 95 (or equivalent) / GPA of 5.5* audition/interview* musicianship testPlease click here for a list of qualifications that are recognised for undergraduate entry.,6.5,https://www.adelaide.edu.au//degree-finder/2021/bmadv_bmusadv.html,English,A,Our advanced music degree creates a unique environment where you can thrive creatively and reach your full potential. You will:,"Accompanist,Art Director,Arts Administrator,Band Musician,Music Journalist / Music Critic,Music Technologist,Music Tutor,Musical Theatre Performer,Musician / Singer,Musicologist,Chamber Musician,Opera Singer,Composer,Conductor,Production Assistant,Recording Artist / Musician,Research and Education,Singer,Instrumentalist",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses."
