Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
GCERT,The University of Adelaide,Adelaide,Graduate Certificate in Art History,"Faculty of Arts, Languages, and Social Sciences","111,000.0",,AUD,Year,6,Months,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gcarh_gcarthis.html,English,A,Our Graduate Certificate in Art History is taught by academic staff at the University of Adelaide and enriched by the collections of the Art Gallery of South Australia. You will:/nGraduate Diploma in Art HistoryMaster of Arts (Studies in Art History) ,"Arts Administrator,Art Gallery Education Officer,Art Historian,Artist,Arts Educator,Arts Management,Curator",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCERT,The University of Adelaide,Adelaide,Graduate Certificate in Environmental Policy and Management,"Faculty of Arts, Languages, and Social Sciences","111,000.0",,AUD,Year,6,Months,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gcepm_gcenvp&m.html,English,A,Where could it take you?/nMaster of Environmental Policy and ManagementGraduate Diploma in Environmental Policy and ManagementProfessional Certificate in Environmental Policy and ManagementMaster of Arts,"Parks Management,Conservation Officer,Conservationist,Land Resources and Land Care,Natural Resource Manager,Natural Resource Planner,Catchment Management,Climate and Ecosystem Modeller,Corporate Policy Advisor,Corporate Sustainability Professional,Science Communicators,Environment Protection Officer,Environmental Compliance Officer,Environmental Economist,Fisheries and Marine Officer,Strategic Planning Officer,Sustainability Manager,Forester,Government Policy Advisor,Green Design Professional,Environmental Management,Environmental Project Officer,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCERT,The University of Adelaide,Adelaide,Graduate Certificate in Immersive Media Technologies,"Faculty of Arts, Languages, and Social Sciences","112,500.0",,AUD,Year,6,Months,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gcimt_gcimedtech.html,English,A,"Completed over six months, the degree provides a wide-ranging overview of the immersive media industry and its creative and technical foundations.","3D Animator,Multimedia / Web Designer,CGI Animator,Game Designer,VR Developer,Gaming Programmer,Animator,XR Developer/Lead Developer,XR Digital Asset Manager,XR Human-Computer Interaction Designer,XR Narrative Specialist,XR Project Manager,XR Research Engineer,XR User Experience Specialist",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCERT,The University of Adelaide,Adelaide,Graduate Certificate in International Security,"Faculty of Arts, Languages, and Social Sciences","111,000.0",,AUD,Year,6,Months,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gcins_gcintsec.html,English,A,"Studied over 6 months full-time, the degree will give you a solid grounding in the specialist knowledge, awareness and skills required to diagnose and respond to emergent cross-border security challenges.","Business Analyst,Non Government Organisation Worker,Management Analyst,Business Consultant,Business Data Analyst,Consultant,Policy Adviser,Political Adviser,Political Analyst,Corporate Policy Advisor,Cyber Intelligence Expert,Diplomat,Risk Analyst,Strategic Analyst,Telecommunications Analyst,Government or Corporate Policy Adviser,Information Management Officer,Intelligence Officer,International Aid Agency Employee",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCERT,The University of Adelaide,Adelaide,Graduate Certificate in Media (Strategic Communication),"Faculty of Arts, Languages, and Social Sciences","112,500.0",,AUD,Year,6,Months,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gcmsc_gcmedsc.html,English,A,"Conducted over six months full-time, the degree will prepare you to take on greater responsibility in strategic communication planning, management and execution. You will graduate with:","Wine Marketing,Market Research Analyst,Market Researcher,Marketer / Marketing Manager,Marketing Associate,Marketing Officer,Marketing Planner,PR Advisor,PR Manager,Communications Advisor,Communications Analyst,Digital Marketer,Digital Strategist,Social Media Influencer,Social Media Manager,Social Media Strategist,Strategist",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDIP,The University of Adelaide,Adelaide,Graduate Diploma in Art History,"Faculty of Arts, Languages, and Social Sciences","37,000.0",,AUD,Year,1,Year,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gdarh_gdarthist.html,English,A,Our Graduate Diploma in Art History is taught by academic staff at the University of Adelaide and enriched by the collections of the Art Gallery of South Australia. You will:/nGraduate Certificate in Art HistoryMaster of Arts (Studies in Art History) ,"Arts Administrator,Curator,Art Gallery Education Officer,Art Historian,Artist,Arts Educator,Arts Management",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDIP,The University of Adelaide,Adelaide,Graduate Diploma in Environmental Policy and Management,"Faculty of Arts, Languages, and Social Sciences","37,000.0",,AUD,Year,1,Year,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gdepm_gdenvp&m.html,English,A,Where could it take you?/nMaster of Environmental Policy and ManagementGraduate Certificate in Environmental Policy and ManagementProfessional Certificate in Environmental Policy and ManagementMaster of Arts,"Environmental Consultant,Environmental Management,Environmental Project Officer,Policy Adviser,Land Resources and Land Care,Natural Resource Manager,Natural Resource Planner,Catchment Management,Corporate Policy Advisor,Corporate Sustainability Professional,Science Communicators,Environment Protection Officer,Environmental Economist,Fisheries and Marine Officer,Strategic Planning Officer,Sustainability Manager,Forester,Government Policy Advisor,Green Design Professional,Climate and Ecosystem Modeller,Parks Management,Conservation Officer,...",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDIP,The University of Adelaide,Adelaide,Graduate Diploma in Immersive Media Technologies,"Faculty of Arts, Languages, and Social Sciences","37,500.0",,AUD,Year,1,Year,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gdimt_gdimedtech.html,English,A,"Completed over 12 months, the degree emphasises both the creative and technical elements required for success in the immersive media industry.","3D Animator,Multimedia / Web Designer,CGI Animator,Game Designer,VR Developer,XR Developer/Lead Developer,XR Digital Asset Manager,XR Human-Computer Interaction Designer,XR Narrative Specialist,XR Project Manager,XR Research Engineer,XR User Experience Specialist,Gaming Programmer,Animator",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDIP,The University of Adelaide,Adelaide,Graduate Diploma in International Security,"Faculty of Arts, Languages, and Social Sciences","37,000.0",,AUD,Year,1,Year,,,IELTS,,,6.5,https://www.adelaide.edu.au//degree-finder/2021/gdins_gdintsec.html,English,A,"Studied over 12 months full-time, the degree will equip you with the specialist knowledge, awareness and skills to diagnose emergent cross-border security challenges and assess sustainable policy or practice solutions.","Management Analyst,Business Analyst,Business Consultant,Business Data Analyst,Non Government Organisation Worker,Consultant,Policy Adviser,Political Adviser,Political Analyst,Corporate Policy Advisor,Cyber Intelligence Expert,Diplomat,Risk Analyst,Strategic Analyst,Telecommunications Analyst,Government or Corporate Policy Adviser,Information Management Officer,Intelligence Officer,International Aid Agency Employee",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDIP,The University of Adelaide,Adelaide,"Graduate Diploma in Interpreting, Translation and Transcultural Communication","Faculty of Arts, Languages, and Social Sciences","37,000.0",,AUD,Year,1,Year,,,,,,,https://www.adelaide.edu.au//degree-finder/2021/gditt_gdittc.html,English,A,"In our Graduate Diploma in Interpreting, Translation and Transcultural Communication you’ll:","Linguist,Communications Officer,Public Relations Officer,Public Servant,Education Coordinator,Education Officer,Education Officer / Educator,Electronic Publisher,Social Media Strategist,Foreign Affairs,Tour Guide,Tourism,Translator,Information Officer,Interpreter / Translator",Australia,Yes,Yes,,Yes,Yes,"For those who are based in Adelaide, we will be offering a blended delivery mode that combines face-to-face with remote learning in as many courses as possible, taking into consideration social distancing and hygiene. All lectures will continue to be delivered online for the remainder of the year, with some exceptions.
For our students who are studying offshore for the remainder of the 2020 Academic Year, the University will continue to offer high-quality access to the learning resources remotely. This includes all lectures, tutorials and other support material. Students will be advised in advance if there are course components that cannot be provided in remote mode and, wherever possible, offered alternative courses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
