Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
CERTI,Batchelor Institute ,"Batchelor Campus, Regional Centres",Certificate I in Business,Business and Governance,,,AUD,Year,6,Months ,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Business_BSB10115_2020_v1.0.pdf,English,A,This entry-level qualification allows individuals across a variety of industry sectors to develop basic skills and knowledge to prepare for work. They may undertake a range of simple tasks under close supervision. The range of technical skills and knowledge is limited.,No Specific Job Role but is the starting point to careers in office administration environments. ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Contribute to health and safety of self and others,Use business equipment and resources,Apply basic communications skills,Work effectively in a business environment,Operate a personal digital device,Develop keyboard skills,,,,,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,"Batchelor Campus, Regional Centres","Certificate II in Business 
","Business and Governance
",,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Business_BSB20115_2020_v1.0.pdf,English,A,"This qualification reflects the role of individuals in a variety of junior administrative positions who perform a range of mainly routine tasks using limited practical skills and fundamental operational knowledge in a defined context. Individuals in these roles generally work under direct supervision.
","The following job roles are defined for this course: / International Education Office Receptionist, / Legal Receptionist, / Administration Officer (Local Government), / Office Assistant, / Receptionist, / Administrative Assistant, / Information Desk Clerk, / Clerical Officer, / Data Entry Operator 
",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Contribute to health and safety of self and others,Communicate in the workplace,Deliver a service to customers,Handle mail,Contribute to workplace innovation,Produce simple word processed documents,Create and use spreadsheets,Participate in environmentally sustainable work practices,Manage personal stress in the workplace,Organise and complete daily work activities,,,,,,,,,,,,,,,,,,,,
CERTIII,Batchelor Institute ,"Batchelor Campus, Regional Centres","Certificate III in Business 
","Business and Governance
",,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Business_BSB30115_2020_v1.0.pdf,English,A,"This qualification reflects the varied roles of individuals across different industry sectors who apply a broad range of competencies using some discretion, judgment and relevant theoretical knowledge. They may provide technical advice and support to a team.",The following job roles are defined for this course: / Word Processing Operator / Information Officer / Data Entry Operator / Customer Service Officer / Payroll Officer / Clerical Officer,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Apply knowledge of WHS legislation in the workplace,Conduct customer engagement,Use multiple information systems,Perform financial calculations,Promote innovation in a team environment,Use simple relational databases,Create electronic presentations,Design and produce spreadsheets,Design and produce digital text documents,Develop keyboarding speed and accuracy,,,,,,,,,,,,,,,,,,,,
CERTIV,Batchelor Institute ,"Batchelor Campus, Regional Centres",Certificate IV in Business ,"Business and Governance
",,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Business_BSB41915_2020_v1.0.pdf,English,A,"This qualification is suitable for individuals working as board members, contact officers and senior staff within Aboriginal and Torres Strait Islander organisations. It also applies to public servants working with Aboriginal and Torres Strait Islander boards of governance.","The following job roles are defined for this course: / Executive Director, / Indigenous Organisation Board Member, / Non-Executive Director, / Board Member, / Board Secretary",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Maintain and protect cultural values in the organisation,Undertake the roles and responsibilities of a board member,Review and apply the constitution,Oversee organisational planning,Implement organisational plans,Oversee financial management,Contribute to the development and implementation of organisational policies,Communicate with the community ,Manage a board meeting,Participate effectively as a board member,,,,,,,,,,,,,,,,,,,,
CERTIII,Batchelor Institute ,"Batchelor Campus, Regional Centres",Certificate III in Community Services,"Community Service
",,,AUD,Year,1,year ,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/CS_CCHC32015_C3_v1.41.pdf,English,A,This qualification reflects the role of entry level community services workers who support individuals through the provision of person-centred services. Work may include day-to-day support of individuals in community settings or support the implementation of specific communitybased programs,"Residential Support Worker / Aboriginal Intake and Referral Worker / Community care worker / Client Contact,Aboriginal Community Development Worker / Welfare Support Worker / Support Worker (Community Services)",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Respond to client’s needs,Communicate and work in health or community services,Follow safe work practices for direct client care,Work with diverse people,Manage personal stressors in the work environment,Provide individualised support,Provide loss and grief support.,Recognise and respond to crisis situations,Recognise and respond appropriately to domestic and family violence,"Provide parenting, health and well-being education",,,,,,,,,,,,,,,,,,,,
CERTI,Batchelor Institute ,Darwin,Certificate I in Construction,Construction,,,AUD,Year,6,Months ,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/CON_CPC10111_C1.pdf,English,A,"This qualification provides an introduction to the construction industry, its culture, occupations, job roles and workplace expectations. The units of competency cover essential work health and safety requirements, the industrial and work organisation structure, communication skills, work planning, and basic use of tools and materials. The qualification is built around a basic construction project unit that integrates the skills and embeds the facets of employability skills in context. ",Construction assistant,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Work effectively and sustainably in the construction industry,Plan and organise work,Conduct workplace communication,Read and interpret plans and specifications,Use construction tools and equipment,Work safely in the construction industry,"Apply OHS requirements, policies and procedures in the construction industry",Undertake a basic construction project,,,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,Darwin,Certificate II in Construction,Construction,,,AUD,Year,12,Weeks,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/CON_CPC20112_2020_v1.01.pdf,English,A,This qualification provides an occupational outcome and a range of support tasks applicable to a majority of construction work sites. The qualification has core units of competency that are required in many Certificate III qualifications. The elective options are structured to allow choice from a range of units aligned at Certificate III level and in total could provide meaningful credit in a construction industry Australian Apprenticeship.,Builder’s labourer,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Work effectively and sustainably in the construction industry,Plan and organise work,Conduct workplace communication,Carry out measurements and calculations ,Read and interpret plans and specifications ,Use construction tools and equipment,Apply basic levelling procedures ,Work safely at heights ,Carry out concreting to simple forms ,"Apply OHS requirements, policies and procedures in the construction industry ",,,,,,,,,,,,,,,,,,,,
,Batchelor Institute ,Darwin,"Prepare to work safely in the construction industry
",Construction,,,AUD,Year,1,Day ,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/CON__CPCCWHS1001_v1.2.pdf,English,A,"This unit of competency specifies the mandatory work health and safety training required prior to undertaking construction work. The unit requires the person to demonstrate personal awareness and knowledge of health and safety legislative requirements in order to work safely and prevent injury or harm to self and others. It covers identifying and orally reporting common construction hazards, understanding basic risk control measures, and identifying procedures for responding to potential incidents and emergencies. It also covers correctly selecting and fitting common personal protective equipment (PPE) used for construction work.",This unit is a pre-requisite to entry to all construction worksites,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Prepare to work safely in the construction industry/white card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTI,Batchelor Institute ,"Desert People’s Centre Campus
",Certificate I in Conservation and Land Management,"Conservation, Land Management & Horticulture
",,,AUD,Year,6,Months ,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/CLM_AHC10116_C1_v1.31.pdf,English,A,This qualification is an entry-level qualification aimed at individuals entering the conservation and land management industry. It allows individuals to develop basic skills and knowledge to prepare for work. They may undertake a range of simple tasks under close supervision. The range of technical skills and knowledge is limited. ,"There are no specific job outcomes to this qualification, but the skills achieved will assist in successfully undertaking a Certificate II pre-vocational program for job outcome, or will facilitate entry into and Australian Apprenticeship.",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Work safely ,Maintain the workplace,Follow basic chemical rules,Recognise fauna,Recognise plants ,Observe and report plants or animals,Apply chemicals under supervision,Treat weeds,Work effectively in the industry,Participate in workplace communications,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus",Certificate II in Conservation and Land Management,"Conservation, Land Management & Horticulture
",,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/CLM_AHC21016_C2_v1.2.pdf,English,A,"This qualification provides an occupational outcome in conservation and land management. Work would be carried out under general guidance and supervision. The qualification enables individuals to select an Indigenous land management, conservation earthworks, lands, parks and wildlife or natural area management context as a job focus or a mix of these.
",The following job roles are defined for this course: / Conservation Earthworks Trainee Pest Management Assistant (Feral Animals) / Landcare Assistant / Parks and Wildlife Officer / Indigenous Land Management Assistant ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Participate in workplace health and safety processes ,Participate in environmentally sustainable work practices,Operate in isolated and remote situations,Recognise fauna,Observe and report plants or animals ,"Collect, prepare and preserve plant specimens",Recognise plants,Operate basic machinery and equipment,Undertake operational maintenance of machinery,Apply chemicals under supervision ,,,,,,,,,,,,,,,,,,,,
