Level code,University,City,Courses,Faculty,Int fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
BA,Curtin University,Perth,Environmental Science (Advanced),School of Molecular and Life Sciences (MLS),"$132,500*",AUD,Year,4,Years,"Writing
7.0, Speaking
7.0, Reading
7.0, Listening
7.0, Overall band score
7.0",,,7.0,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-environmental-science-major-badvsci-honours--mjrh-adenvv1&index_url=http%3A%2F%2Fcourse-ug-environmental-science-major-badvsci-honours--mjrh-adenvv1&auth=qdFdo9mU69QPJBa3c94lXg&profile=_default&rank=1&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"Global environmental problems require innovative solutions from creative thinkers with a deep scientific understanding of the environment, including its underlying physical, chemical and biological processes. Environmental scientists focus on applying scientific techniques to study interactions between people and the rest of the world, including living and non-living environments.",Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
BA,Curtin University,Perth,Coastal and Marine Science (Advanced),School of Molecular and Life Sciences (MLS),"$132,500*",AUD,Year,4,Years,"Writing
7.0, Speaking
7.0, Reading
7.0, Listening
7.0, Overall band score
7.0",,,7.0,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-coastal-and-marine-major-badvsci-honours--mjrh-adcmsv1&index_url=http%3A%2F%2Fcourse-ug-coastal-and-marine-major-badvsci-honours--mjrh-adcmsv1&auth=r9QJTn0qZQyPRpz2HhjkIw&profile=_default&rank=2&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"The need to sustain Australia's marine environment is more important than ever as we face an uncertain future driven by climate change, increasing resource extraction and coastal development. A strong scientific understanding of the complexities of these sensitive ecosystems is developed alongside the skills to apply relevant practical and technological tools toward their sustainable management.","Aquaculturalist, Ecotoxicologist, Environmental officer, Fisheries scientist, Marine scientist, Natural resource manager",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
BA,Curtin University,Perth,Coastal and Marine Science,School of Molecular and Life Sciences (MLS),NULL,AUD,Year,NULL,Years,"Writing
6.0, Speaking
6.0, Reading
6.0, Listening
6.0, Overall band score
6.5",,,6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-coastal-and-marine-science-double-degree-major-bscba-bscbcom--mddu-cmarsv3&index_url=http%3A%2F%2Fcourse-ug-coastal-and-marine-science-double-degree-major-bscba-bscbcom--mddu-cmarsv3&auth=PJKIUVhV8uwUwZK5mA0tSg&profile=_default&rank=3&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Students in this course gain a practical experience through a range of field-based experiences in marine environments.,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
BA,Curtin University,Perth,Coastal and Marine Science,School of Molecular and Life Sciences (MLS),"$97,400*",AUD,Year,3,Years,"Writing
6.0, Speaking
6.0, Reading
6.0, Listening
6.0, Overall band score
6.0",,,6.0,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-coastal-and-marine-science-major-bsc-science--mjru-camscv2&index_url=http%3A%2F%2Fcourse-ug-coastal-and-marine-science-major-bsc-science--mjru-camscv2&auth=XXF1MlB0P1fXK%2FCV9yEP8A&profile=_default&rank=4&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Marine environments all around the world are increasingly vulnerable to climate change and continued coastal development and resources extraction.,"Aquaculturalist, Ecotoxicologist, Environmental officer, Fisheries scientist, Marine scientist, Natural resource manager",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
BA,Curtin University,Perth,Agricultural Science (Advanced),School of Molecular and Life Sciences (MLS),"$132,500*",AUD,Year,4,Years,"Writing
7.0, Speaking
7.0, Reading
7.0, Listening
7.0, Overall band score
7.0",,,7.0,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-agricultural-science-major-badvsci-honours--mjrh-adagsv1&index_url=http%3A%2F%2Fcourse-ug-agricultural-science-major-badvsci-honours--mjrh-adagsv1&auth=wATyOMqwLNdKnKw9EIER6A&profile=_default&rank=5&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Agricultural scientists are central to the world’s ability to feed its population. This course focuses on the use chemistry and biology that underpins agricultural production and the application of problem-solving techniques to management strategies.,"Agricultural scientist, Consultant",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
BA,Curtin University,Perth,Environmental Science,School of Molecular and Life Sciences (MLS),"$97,400*",AUD,Year,3,Years,"Writing
6.0, Speaking
6.0, Reading
6.0, Listening
6.0, Overall band score
6.0",,,6.0,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-environmental-science-major-bsc-science--mjru-ensciv3&index_url=http%3A%2F%2Fcourse-ug-environmental-science-major-bsc-science--mjru-ensciv3&auth=00gxlifbR6Vvj2Rl176Adg&profile=_default&rank=6&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"With human exploitation of the environment having taken a serious toll on the planet, environmental scientists are needed to solve issues related to land degradation, urban and regional development, pollution, loss of biodiversity, and the impacts of mining, oil and gas extraction and processing.","Conservation scientist, Environmental consultant, Environmental scientist, Mine restoration consultant, Natural resource manager, Remediated lands consultant",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
BA,Curtin University,Perth,Agriculture Science,School of Molecular and Life Sciences (MLS),"$97,400*",AUD,Year,3,Years,"Writing
6.0, Speaking
6.0, Reading
6.0, Listening
6.0, Overall band score
6.0",,,6.0,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-agriculture-science-major-bsc-science--mjru-agsciv1&index_url=http%3A%2F%2Fcourse-ug-agriculture-science-major-bsc-science--mjru-agsciv1&auth=3urmCflM64hZ4YWv1b5U7A&profile=_default&rank=7&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"Agriculture is the science and practice of food and fibre production. Australia has the potential to be a leader in developing innovative solutions for sustainable, economical and ethical food production, across domestic and international markets.","Agricultural management/consultant, Agricultural and resource economist, Agricultural scientist/technologist, Agronomist, Biotechnologist, Climate scientist, Plant breeding, Soil scientist",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
BA,Curtin University,Perth,Environment and Agriculture,School of Molecular and Life Sciences (MLS),"$32,000*",AUD,Year,1,Years, ,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-environment-and-agriculture-honours-major-bsc-honours--mjrh-envagv1&index_url=http%3A%2F%2Fcourse-ug-environment-and-agriculture-honours-major-bsc-honours--mjrh-envagv1&auth=QTonHcfbus5LqK8FjKreqw&profile=_default&rank=8&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"Environment and Agriculture Honours allows students to develop skills necessary to conduct research in their chosen discipline within the context of Environment and Agriculture. Students will learn to apply scientific concepts, principles and methods to undertake a research project, develop the ability to manipulate, analyse and interpret scientific data, and effectively communicate their results both orally and in writing.",NULL,Australia,Yes,Yes,,Yes,Yes,"At Curtin, we understand that everyone’s study journey has been different."
BA,Curtin University,Perth,Agribusiness,School of Molecular and Life Sciences (MLS),"$97,600*",AUD,Year,3,Years,"Writing
6.0, Speaking
6.0, Reading
6.0, Listening
6.0, Overall band score
6.5",,,6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-bachelor-of-agribusiness--b-agribv2&index_url=http%3A%2F%2Fcourse-ug-bachelor-of-agribusiness--b-agribv2&auth=mQ%2BCgQfPv%2BCMiyGsGY8yOQ&profile=_default&rank=9&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,"Agricultural and resource economist, Agricultural scientist, Agronomist, Biotechnologist, Farm management and farm consultant, Grain trader, Research trials manager, Soil scientist",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
BA,Curtin University,Perth,Geography,School of Design and the Built Environment,NULL,AUD,Year,3,Years,"Writing
6.0, Speaking
6.0, Reading
6.0, Listening
6.0, Overall band score
6.5",,,6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-ug-geography-major-ba--mjru-geogrv1&index_url=http%3A%2F%2Fcourse-ug-geography-major-ba--mjru-geogrv1&auth=SZHFYQXtR8byl5SrdnH46g&profile=_default&rank=10&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+UNDERGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Geographers are social and physical scientists who continually improve our understanding of the human and physical environments in which we live.,"Natural resource manager, Social assessment officer, Regional development coordinator, Landcare advisor, Environmental assessor, Geography Teacher*, Planner, Sustainability Officer",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
