Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10
PG,Curtin University,Perth,Food Science and Technology,School of Molecular and Life Sciences (MLS),"37,200", ,AUD,Year,1,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-diploma-in-food-science-and-technology--gd-foodstv1&index_url=http%3A%2F%2Fcourse-pg-graduate-diploma-in-food-science-and-technology--gd-foodstv1&auth=wzUA0HCGMZYmivVvqVAYwg&profile=_default&rank=1&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, , ,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,,,,,,,,,,,,,,,,,,,,
PG,Curtin University,Perth,Food Science and Technology,School of Molecular and Life Sciences (MLS),"18,500", ,AUD,Year,6 months full-time,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-certificate-in-food-science-and-technology--gc-foodstv1&index_url=http%3A%2F%2Fcourse-pg-graduate-certificate-in-food-science-and-technology--gc-foodstv1&auth=JY6DNbS0EhZ3Bsqu8SfKag&profile=_default&rank=2&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,Industries,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,,,,,,,,,,,,,,,,,,,,
PG,Curtin University,Perth,Environment and Climate Emergency,School of Design and the Built Environment,"29,200", ,AUD,Year,1,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-diploma-in-environment-and-climate-emergency--gd-envclmv1&index_url=http%3A%2F%2Fcourse-pg-graduate-diploma-in-environment-and-climate-emergency--gd-envclmv1&auth=U1rdhbuJWmAzXZisXeHEfA&profile=_default&rank=3&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,Organisations are increasingly working with environment and sustainability consultants in order to be environmentally responsible and to improve their stakeholder relationships. This course will prepare you for employment in various public and private sectors that require specialist knowledge of applying environmental and sustainability practices to all levels of business and organisations.  ,Australia,Yes,Yes,,Yes,Yes,"Applicants for a Master Degree (Coursework) are required to meet University academic and English language entry standards; details are provided at http://futurestudents.curtin.edu.au. Subject to the duration of the course applicants usually require a Bachelor Degree or equivalent (and may require relevant work experience), Bachelor Honours Degree, Graduate Certificate or Graduate Diploma. ",,,,,,,,,,,,,,,,,,,,
PG,Curtin University,Perth,Environment and Climate Emergency,School of Design and the Built Environment,"58,400", ,AUD,Year,2,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-masters-of-environment-and-climate-emergency--mc-envclmv1&index_url=http%3A%2F%2Fcourse-pg-masters-of-environment-and-climate-emergency--mc-envclmv1&auth=qJY%2ByODdmB6jfFnAhrqv6w&profile=_default&rank=4&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,"Increasing extreme climatic events and natural disasters are affecting communities the world over. The declaration of a ‘climate emergency’ is progressively being accepted as policy by government authorities and professional institutions, initiating local action in a rapidly urbanising world. However, many governments are lagging in their policy development.",Australia,Yes,Yes,,Yes,Yes,"Applicants for a Master Degree (Coursework) are required to meet University academic and English language entry standards; details are provided at http://futurestudents.curtin.edu.au. Subject to the duration of the course applicants usually require a Bachelor Degree or equivalent (and may require relevant work experience), Bachelor Honours Degree, Graduate Certificate or Graduate Diploma. ",,,,,,,,,,,,,,,,,,,,
PG,Curtin University,Perth,Dryland Agricultural Systems,School of Molecular and Life Sciences (MLS), , ,AUD,Year, ,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-dryland-agricultural-systems-major-msc-science--mjrp-dragmv2&index_url=http%3A%2F%2Fcourse-pg-dryland-agricultural-systems-major-msc-science--mjrp-dragmv2&auth=VRt1IJeEG3ZDMpEAmwXpyw&profile=_default&rank=5&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,"This qualification will provide you with the skills to pursue a career in agricultural research and development, and as consultants/advisors to the livestock and cropping industries in Mediterranean environments around the world. Employers are likely to include Government and private research organisations, agricultural consultancy groups, and individual growers and grower groups.",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,STAT5005 (v.1) Quantitative Biology,AGRI5002 (v.2) Advanced Soil Systems,AGRI5001 (v.1) Animal Science,NPSC5000 (v.1) Science Masters Research Methodologies,AGRI5000 (v.1) Broadacre Crop and Pasture Science,AGRI5009 (v.1) Integrated Pest Management,AGRI5003 (v.1) Plant Molecular Biology,ENST5005 (v.2) Global Environmental Challenges,AGRI5005 (v.1) Sustainable Agricultural Systems and Food Security,AGRI5007 (v.1) Life Sciences Research Design,"An introduction to a variety of statistical procedures which are frequently used in the biological sciences. Populations and samples, types of data, distributions, measures of central tendency and dispersion, graphing techniques, data screening, data transformation, diversity indices, one-way ANOVA, two-way ANOVA, post-hoc testing, dependent, independent and one-sample t-tests, simple linear regression and correlation, non-parametric procedures (Mann-Whitney U test, Kruskal Wallis, Spearman Rank Correlation, Chi-square and contingency tables), over-view of multivariate ecological techniques. Experimental design, interpretation of analyses and report writing. Data analysis using the statistical package SPSS.","This unit will evaluate the key aspects of soil biology, chemistry and physics that influence productive soil systems. Natural and induced processes that modify soil conditions in agricultural, horticultural and mine site environments will be explored. Methodologies used to improve soil conditions to restore or sustainably manage soils will be evaluated. Techniques to sample, analyse and interpret soil conditions will be investigated.","Scientific principles (biochemical, anatomical and physiological) that underpin intensive and extensive animal production. These principles will be related to key production parameters and indicators including growth, reproduction, lactation and milk production, fibre production and breeding. Students will apply the scientific principles to planning of production in farming simulation models.","This unit provides a comprehensive preparation for students undertaking research at Masters level and beyond. Students will develop and apply the research skills and knowledge which are key to successful research, in a discipline-scientific context. Students will explore the scientific method and associated behaviours, the nature of research and development, OHS and risk management, research ethics, the location and critical review of scientific literature, the creation and defence of arguments, various research methodologies, presentation of research data, research strategies and the dissemination of research findings. A range of discipline-specific topics are also presented.","Scientific physiological and ecological principles that underpin crop and pasture production, including drivers of plant growth and development, reproduction, nutrition, genetics, crop and pasture health and associated pests.  The unit will incorporate a field experiment with associated written scientific report and visits to crop and pasture field days.","Integrated Pest Management will introduce students to key pest management concepts in different scenarios. Topics to be covered include the concept of plant pathology and the importance of integrated management of diseases, factors influencing disease development, economic constraints in disease management, traditional and molecular diagnosis methods, disease development in complex pathogen populations, principles of plant disease control and pesticide resistance management strategies.","The unit covers foundations in molecular genetics, inheritance, quantitative genetics and breeding, evolution, diversity and conservation genetics of plants. It conveys practical skills in molecular biology, collection and management of genetic data and bioinformatics. The unit facilitates the acquisition of critical reading and analytical skills, as well as organizational skills appropriate for independent and team work in a laboratory or field research environment. The examples and research questions apply the contemporary concepts and practices underlying crop improvement and plant breeding. The emphasis is on crop species of importance to Australia in general and WA grain cropping in particular.","This unit provides an introduction to global environmental challenges including anthropogenic climate change, deforestation, resource depletion, and population growth. Current change scenarios and their impacts are examined globally, regionally and locally concerning freshwater and marine biodiversity; primary industries; water resources; human health; settlements and infrastructure; disaster management and emergency services and social economic and institutional dimensions. The sensitivity and adaptive capacity of affected systems will be examined, including adaptation and mitigation mechanisms to overcome barriers to change. National and international policy options associated with environmental sustainability and various forms of mitigation, adaptation and transformation will also be addressed.","Exploration of agricultural systems in terms of social, economic and environmental sustainability - the triple bottom line. Sustainable agricultural systems appropriate for land management units including intensive, rangeland and broad acre examples, in both Australia and other environments. The balance of production between food security,  resource and energy commodities from agricultural systems. The impacts on Western Australian agriculture caused by national and global changes. Sustainable practice adoption and social capacity for change. Students will undertake field trips in this unit.","This unit requires students to undertake a research project with staff supervision. Projects
						will be developed through input from staff within the School (or from elsewhere as required) and
						generally relate to existing research directions or to current and emerging industry problems.
						The activities and time lines associated with the project are developed in collaboration with
						the student, the supervisor and unit coordinator."
PG,Curtin University,Perth,Food Science and Technology,School of Molecular and Life Sciences (MLS), , ,AUD,Year,2,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-master-of-science-food-science-and-technology--mc-foodstv3&index_url=http%3A%2F%2Fcourse-pg-master-of-science-food-science-and-technology--mc-foodstv3&auth=083PI2FYuHHatY9jbByu0A&profile=_default&rank=6&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, , ,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,,,,,,,,,,,,,,,,,,,,
PG,Curtin University,Perth,Environment and Climate Emergency,School of Design and the Built Environment,"14,700", ,AUD,Year,6 months full-time,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-certificate-in-environment-and-climate-emergency--gc-envclmv1&index_url=http%3A%2F%2Fcourse-pg-graduate-certificate-in-environment-and-climate-emergency--gc-envclmv1&auth=%2FGtFQ8WO%2Bk8BcklMTUNc2w&profile=_default&rank=7&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,Organisations are increasingly working with environment and sustainability consultants in order to be environmentally responsible and to improve their stakeholder relationships.,Australia,Yes,Yes,,Yes,Yes,"Applicants for a Master Degree (Coursework) are required to meet University academic and English language entry standards; details are provided at http://futurestudents.curtin.edu.au. Subject to the duration of the course applicants usually require a Bachelor Degree or equivalent (and may require relevant work experience), Bachelor Honours Degree, Graduate Certificate or Graduate Diploma. ",,,,,,,,,,,,,,,,,,,,
PG,Curtin University,Perth,Development Planning,School of Design and the Built Environment,"15,000", ,AUD,Year,6 months full-time,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-certificate-in-development-planning--gc-devplnv2&index_url=http%3A%2F%2Fcourse-pg-graduate-certificate-in-development-planning--gc-devplnv2&auth=Qy2Bs5Kd98d%2FbcKtI28zOQ&profile=_default&rank=1&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+architecture-and-construction+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,"The future of planning and developmentThe future of planning and development is underpinned by the need for innovative thinking to plan, regulate and manage the environmental, economic and social impacts of development.",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,,,,,,,,,,,,,,,,,,,,
PG,Curtin University,Perth,Urban and Regional Planning,School of Design and the Built Environment, , ,AUD,Year,1,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-master-of-urban-and-regional-planning--mc-urplanv2&index_url=http%3A%2F%2Fcourse-pg-master-of-urban-and-regional-planning--mc-urplanv2&auth=fMeRbJuZDv9ZNuO4U%2BOyyg&profile=_default&rank=2&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+architecture-and-construction+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,The future of planning and development,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,,,,,,,,,,,,,,,,,,,,
PG,Curtin University,Perth,Architecture,School of Design and the Built Environment, , ,AUD,Year,2,Years,,,, ,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-master-of-architecture--mc-archv2&index_url=http%3A%2F%2Fcourse-pg-master-of-architecture--mc-archv2&auth=M9pe8yT9J%2BrQ2HAIAc%2FdRA&profile=_default&rank=3&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+architecture-and-construction+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A, ,The future of architecture,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.,,,,,,,,,,,,,,,,,,,,
