Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
PG,Curtin University,Perth,Food Science and Technology,School of Molecular and Life Sciences (MLS),"37,200", ,AUD,Year,1,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-diploma-in-food-science-and-technology--gd-foodstv1&index_url=http%3A%2F%2Fcourse-pg-graduate-diploma-in-food-science-and-technology--gd-foodstv1&auth=wzUA0HCGMZYmivVvqVAYwg&profile=_default&rank=1&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Broaden your knowledge of food science and increase your professional status in the industry., ,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
PG,Curtin University,Perth,Food Science and Technology,School of Molecular and Life Sciences (MLS),"18,500", ,AUD,Year,6 months full-time,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-certificate-in-food-science-and-technology--gc-foodstv1&index_url=http%3A%2F%2Fcourse-pg-graduate-certificate-in-food-science-and-technology--gc-foodstv1&auth=JY6DNbS0EhZ3Bsqu8SfKag&profile=_default&rank=2&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"Produce, preserve and distribute safe and healthy food.",Industries,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
PG,Curtin University,Perth,Environment and Climate Emergency,School of Design and the Built Environment,"29,200", ,AUD,Year,1,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-diploma-in-environment-and-climate-emergency--gd-envclmv1&index_url=http%3A%2F%2Fcourse-pg-graduate-diploma-in-environment-and-climate-emergency--gd-envclmv1&auth=U1rdhbuJWmAzXZisXeHEfA&profile=_default&rank=3&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"Engage with climate emergency issues, explore approaches to inform relevant policies and practices and apply your learnings to develop a strategic response.",Organisations are increasingly working with environment and sustainability consultants in order to be environmentally responsible and to improve their stakeholder relationships. This course will prepare you for employment in various public and private sectors that require specialist knowledge of applying environmental and sustainability practices to all levels of business and organisations.  ,Australia,Yes,Yes,,Yes,Yes,"Applicants for a Master Degree (Coursework) are required to meet University academic and English language entry standards; details are provided at http://futurestudents.curtin.edu.au. Subject to the duration of the course applicants usually require a Bachelor Degree or equivalent (and may require relevant work experience), Bachelor Honours Degree, Graduate Certificate or Graduate Diploma. "
PG,Curtin University,Perth,Environment and Climate Emergency,School of Design and the Built Environment,"58,400", ,AUD,Year,2,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-masters-of-environment-and-climate-emergency--mc-envclmv1&index_url=http%3A%2F%2Fcourse-pg-masters-of-environment-and-climate-emergency--mc-envclmv1&auth=qJY%2ByODdmB6jfFnAhrqv6w&profile=_default&rank=4&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Develop the skills and knowledge to respond to the present global emergency and facilitate environmental change.,"Increasing extreme climatic events and natural disasters are affecting communities the world over. The declaration of a ‘climate emergency’ is progressively being accepted as policy by government authorities and professional institutions, initiating local action in a rapidly urbanising world. However, many governments are lagging in their policy development.",Australia,Yes,Yes,,Yes,Yes,"Applicants for a Master Degree (Coursework) are required to meet University academic and English language entry standards; details are provided at http://futurestudents.curtin.edu.au. Subject to the duration of the course applicants usually require a Bachelor Degree or equivalent (and may require relevant work experience), Bachelor Honours Degree, Graduate Certificate or Graduate Diploma. "
PG,Curtin University,Perth,Dryland Agricultural Systems,School of Molecular and Life Sciences (MLS), , ,AUD,Year, ,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-dryland-agricultural-systems-major-msc-science--mjrp-dragmv2&index_url=http%3A%2F%2Fcourse-pg-dryland-agricultural-systems-major-msc-science--mjrp-dragmv2&auth=VRt1IJeEG3ZDMpEAmwXpyw&profile=_default&rank=5&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"Gain comprehensive understanding of dryland agricultural systems, and examine farming systems in Australia’s Great Southern and South West regions.","This qualification will provide you with the skills to pursue a career in agricultural research and development, and as consultants/advisors to the livestock and cropping industries in Mediterranean environments around the world. Employers are likely to include Government and private research organisations, agricultural consultancy groups, and individual growers and grower groups.",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
PG,Curtin University,Perth,Food Science and Technology,School of Molecular and Life Sciences (MLS),"69,200", ,AUD,Year,2,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-master-of-science-food-science-and-technology--mc-foodstv3&index_url=http%3A%2F%2Fcourse-pg-master-of-science-food-science-and-technology--mc-foodstv3&auth=083PI2FYuHHatY9jbByu0A&profile=_default&rank=6&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Extend your food sciences learning with an independent research project under the guidance of an experienced supervisor., ,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
PG,Curtin University,Perth,Environment and Climate Emergency,School of Design and the Built Environment,"14,700", ,AUD,Year,6 months full-time,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-certificate-in-environment-and-climate-emergency--gc-envclmv1&index_url=http%3A%2F%2Fcourse-pg-graduate-certificate-in-environment-and-climate-emergency--gc-envclmv1&auth=%2FGtFQ8WO%2Bk8BcklMTUNc2w&profile=_default&rank=7&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+agriculture-environment-and-sustainability+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Investigate key climate emergency and learn how to inform relevant policies and practices that support a sustainable future.,Organisations are increasingly working with environment and sustainability consultants in order to be environmentally responsible and to improve their stakeholder relationships.,Australia,Yes,Yes,,Yes,Yes,"Applicants for a Master Degree (Coursework) are required to meet University academic and English language entry standards; details are provided at http://futurestudents.curtin.edu.au. Subject to the duration of the course applicants usually require a Bachelor Degree or equivalent (and may require relevant work experience), Bachelor Honours Degree, Graduate Certificate or Graduate Diploma. "
PG,Curtin University,Perth,Development Planning,School of Design and the Built Environment,"15,000", ,AUD,Year,6 months full-time,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-graduate-certificate-in-development-planning--gc-devplnv2&index_url=http%3A%2F%2Fcourse-pg-graduate-certificate-in-development-planning--gc-devplnv2&auth=Qy2Bs5Kd98d%2FbcKtI28zOQ&profile=_default&rank=1&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+architecture-and-construction+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,"Learn how to shape the development and land use of cities, towns and regions.","The future of planning and developmentThe future of planning and development is underpinned by the need for innovative thinking to plan, regulate and manage the environmental, economic and social impacts of development.",Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
PG,Curtin University,Perth,Urban and Regional Planning,School of Design and the Built Environment,"45,000", ,AUD,Year,1,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-master-of-urban-and-regional-planning--mc-urplanv2&index_url=http%3A%2F%2Fcourse-pg-master-of-urban-and-regional-planning--mc-urplanv2&auth=fMeRbJuZDv9ZNuO4U%2BOyyg&profile=_default&rank=2&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+architecture-and-construction+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,Become a leader in innovative urban planning designs and development.,The future of planning and development,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
PG,Curtin University,Perth,Architecture,School of Design and the Built Environment,"65,900", ,AUD,Year,2,Years,"Writing6.0, Speaking6.0, Reading6.0, Listening6.0, Overall band score6.5",,,IELTS band: 6.5,,,https://search.curtin.edu.au/s/redirect?collection=curtin-learning-offerings&url=https%3A%2F%2Fstudy.curtin.edu.au%2Foffering%2Fcourse-pg-master-of-architecture--mc-archv2&index_url=http%3A%2F%2Fcourse-pg-master-of-architecture--mc-archv2&auth=M9pe8yT9J%2BrQ2HAIAc%2FdRA&profile=_default&rank=3&query=%21padrenull+%7CstudyArea%3A%22%24%2B%2B+architecture-and-construction+%24%2B%2B%22+%7CofferingLevel%3A%22%24%2B%2B+POSTGRADUATE+%24%2B%2B%22+%7CofferingType%3A%22%24%2B%2B+COURSE+%24%2B%2B%22,English,A,The Master of Architecture is the final stage of the five-year academic pathway to become a practising architect.,The future of architecture,Australia,Yes,Yes,,Yes,Yes,Curtin requires all applicants to demonstrate proficiency in English. Specific English requirements for this course are outlined in the IELTS table below.
