Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
BA,Flinders University,Bedford Park,Bachelor of Accounting,"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-accounting
",English,A,"Develop the expertise and competencies to adapt and thrive in the fast paced financial, consulting and accounting sectors. Accredited by CPA Australia and the Chartered Accountants Australia and New Zealand, this degree provides a strong foundation in accounting principles and processes, management accounting, business law, economics, finance, computer information systems, auditing, and taxation law, international accounting developments and standards, and current issues in financial reporting. In addition, students will develop the ‘soft’ skills (eg interpersonal skills, communication, organisational skills, teamwork) that accountants need to deal with clients and grow businesses.","accountant, graduate consultant, graduate audit analyst, graduate taxation advisor.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Accounting (Advanced Leadership),"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-accounting-advanced-leadership
",English,A,"Designed for high-achieving students to meet their full potential, this degree is designed for students demonstrating potential to attain leadership skills and work-relevant experience to make them of distinct value to employers. The advanced nature of this degree is encapsulated by a guaranteed industry placement, a research/project topic, participation in a student conference, and individual mentoring.
This degree provides a strong foundation in accounting principles and processes, management accounting, business law, economics, finance, computer information systems, auditing, and taxation law, international accounting developments and standards, and current issues in financial reporting. In addition, students will develop the ‘soft’ skills (eg interpersonal skills, communication, organisational skills, teamwork) that accountants need to deal with clients and grow businesses.","accountant, graduate consultant, graduate audit analyst, graduate taxation advisor.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Accounting and Finance,"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-accounting-finance
",English,A,"Prepare for a career in accounting or finance with an introduction to the technical and practical realities of the global marketplace. This degree will prepare you for a career in accounting and is accredited by CPA Australia and the Chartered Accountants Australia and New Zealand. It provides core studies in a range of business-related topics. You will learn fundamental business concepts and apply them to real-world scenarios, developing analytical skills vital for roles in accounting and business analysis. 
A Bachelor of Accounting and Finance (Advanced Leadership) is also available to high-achieving students.","graduate taxation advisor, finance systems graduate, accountant, graduate business analyst.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Accounting and Finance (Advanced Leadership),"Business, commerce and management","33,700",,AUD,Year,3.5,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-accounting-finance-advanced-leadership
",English,A,"Designed for high-achieving students to meet their full potential, this degree is designed for students demonstrating potential to attain leadership skills and work-relevant experience to make them of distinct value to employers. The advanced nature of this degree is encapsulated by a guaranteed industry placement, a research/project topic, participation in a student conference, and individual mentoring.
Prepare for a career in accounting or finance with an introduction to the technical and practical realities of the global marketplace. You will learn fundamental business concepts and apply them to real-world scenarios, developing analytical skills vital for roles in accounting and business analysis.","graduate taxation advisor, finance systems graduate, accountant, graduate business analyst.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Banking and Finance,"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-banking-finance
",English,A,"Commercial theory is important, but nothing trumps experience. As financial automation ramps up, banks and fund managers are looking for graduates with more than just technical knowledge. They want graduates who can think under pressure. They’re looking for creativity, leadership and ‘soft’ enterprise skills.
Flinders Bachelor of Banking and Finance offers a broad, hands-on curriculum. Get a guaranteed industry placement, test yourself in the Flinders Business Trading Room, and future-proof your CV with the latest FinTech theory. Welcome to the future of finance.
A Bachelor of Banking and Finance (Advanced Leadership) is also available to high-achieving students.","investment banker, risk assessor, stockbroker, tax agent, treasurer, bank manager, fund manager, investment analyst, chief financial officer, credit analyst, financial adviser, insurance officer, mergers and acquisitions specialist, securities broker, stock market traders, asset manager, commodities trader, accountant, auditor, financial planner.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Banking and Finance (Advanced Leadership),"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-banking-finance-advanced-leadership
",English,A,"Future financial leaders will need more than specialised market knowledge. As technology evolves and markets start to shift, successful professionals will be the ones with broad, transferable skills. Adaptability. Creativity. The ability to critically self-reflect. A holistic understanding of banking, governance and social responsibility.
This hands-on course has been designed to breed a new generation of finance leaders. Get a guaranteed industry placement, apply business concepts to real world scenarios, and future-proof your CV with the latest FinTech theory.","investment banker, risk assessor, stockbroker, tax agent, treasurer, bank manager, fund manager, investment analyst, chief financial officer, credit analyst, financial adviser, insurance officer, mergers and acquisitions specialist, securities broker, stock market traders, asset manager, commodities trader, accountant, auditor, financial planner.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Business,"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-business
",English,A,"Combine practical learning based on solving real-world business problems with the skills to analyse and understand key issues that businesses deal with every day. This degree provides you with the fundamental knowledge, contemporary case studies, workplace skills development and live industry experience to pursue a career in business. A Bachelor of Business (Online) is also available.","industry analyst, client service executive, human resource associate, marketing manager, graduate commercial analyst.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Business (Advanced Leadership),"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-business-advanced-leadership
",English,A,"Designed for high-achieving students to meet their full potential, the advanced leadership degree can be taken on its own or in any of the six Bachelor of Business specialisations (human resource management, innovation and enterprise, international business, management, marketing or sport management), and is designed for students demonstrating potential to attain leadership skills and work-relevant experience to make them of distinct value to employers.
The advanced nature of these degrees is encapsulated by a guaranteed industry placement, a research/project topic, participation in a student conference, and individual mentoring.","industry analyst, client service executive, human resource associate, marketing manager, graduate commercial analyst.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Business (Human Resource Management),"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-business-human-resource-management
",English,A,"Identify ways to recruit, support, develop and retain staff at a time when many organisations are undergoing change. The degree provides you with the skills and knowledge to pursue a specialist career in human resource management. In this degree, you’ll learn how to attract, manage and retain people, and how to motivate them to contribute to organisational aims and objectives. A Bachelor of Business (Advanced Leadership and Human Resource Management) is also available to high-achieving students.","industrial relations advisor, employee services advisor, human resources manager, labour market analyst/researcher, graduate employee relations advisor.",Australia,Yes,Yes,,Yes,Yes,
BA,Flinders University,Bedford Park,Bachelor of Business (Innovation and Enterprise),"Business, commerce and management","33,700",,AUD,Year,3,Years,IELTS,,,6,,,"https://www.flinders.edu.au/study/courses/bachelor-business-innovation-enterprise
",English,A,"Prepare yourself for the jobs of the future and to deliver entrepreneurial solutions in a world disrupted by constant and rapid change. You will receive mentorship from leading entrepreneurs, and work with innovative businesses. You will have the opportunity to learn and apply new approaches to creating value, and enhancing organisational outcomes and impact. A Bachelor of Business (Advanced Leadership and Innovation and Enterprise) is also available to high-achieving students.","commercial associate, innovation associate, business development officer, marketing officer, junior business analyst, entrepreneur/founder.",Australia,Yes,Yes,,Yes,Yes,
