Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE
,South Metropolitan TAFE,Fremantle,AMPA Coxswain External,"Aerospace, Maritime and Logistics",,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/ampa-coxswain-external,English,A,This qualification is for people working in the maritime industry seeking an Australian Maritime Safety Authority (AMSA) certificate as a Coxswain Grade 1 NC to command and operate the engines of a vessel less than 12 metres long.,,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,Fremantle,AMPA MEDII External,"Aerospace, Maritime and Logistics",,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/ampa-medii-external,English,A,This course is for people wanting to be a chief marine engineer or second marine engineer. ,,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,,AMPA Master Under 24m External,"Aerospace, Maritime and Logistics",,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/ampa-master-under-24m-external,English,A,This course is for people wanting to Master on commercial vessels less than 24 metres.,,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,Fremantle,Advanced Training for Chemical Tanker Cargo Operations,"Aerospace, Maritime and Logistics",,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/advanced-training-chemical-tanker-cargo-operations,English,A,"This advanced training course is for Masters, Chief Engineers and Chief Mates and provides candidates with the skills and knowledge to meet the relevant AMSA requirements for:",,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,Fremantle,Advanced Training for Liquified Gas Tanker Cargo Operations,"Aerospace, Maritime and Logistics",,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/advanced-training-liquified-gas-tanker-cargo-operations,English,A,"This course is for Masters, Chief Engineers and Chief Mates and provides you with the skills and knowledge to meet AMSA requirements for STCW Reg V/1-2 and Code Section A-V/1-2, paragraph 2, Table A-V/1-2-1.",,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,Fremantle,Advanced Training for Oil Tanker Cargo Operations,"Aerospace, Maritime and Logistics",,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/advanced-training-oil-tanker-cargo-operations,English,A,"This course is for Masters, Chief Engineers and Chief Mates and provides candidates with the skills and knowledge to meet AMSA requirements for Table A-V/1-1-3 and STCW Reg V/1-1 and Code Section A-V/1-1, paragraph 2 Table A-V/1-1-2.",,Australia,Yes,Yes,,Yes,Yes,,Normal,No
CERTII,South Metropolitan TAFE,Jandakot,MEA20418 Certificate II in Aeroskills (Aeroskills Mechanical Pre-apprenticeship),"Aerospace, Maritime and Logistics",,,AUD,Year,10,Week,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-ii-aeroskills-aeroskills-mechanical-pre-apprenticeship,English,A,"This Qualification is being replaced, new students should apply for the replacement qualification MEA20418 AB67 - Certificate II in Aeroskills (Aeroskills Mechanical Pre-apprenticeship)",,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Normal,No
CERTI,South Metropolitan TAFE,Jandakot,MEA40618 Certificate IV in Aeroskills (Avionics),"Aerospace, Maritime and Logistics",,,AUD,Year,4,Year,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iv-aeroskills-avionics,English,A,When you complete the Certificate IV in Aeroskills (Avionics) you will be looking at an exciting career working on aircraft large and small as an aviation maintenance engineer. Aircraft maintenance is a key skills growth area and your qualifications are in demand worldwide.,,Australia,Yes,Yes,,Yes,Yes,"C Grades in Year 11 WACE General English, and OLNA; or NAPLAN 9 Band 8 or C Grades in Year 11 English and Maths or equivalent or Certificate II or Certificate III",Apprenticeship,No
CERTI,South Metropolitan TAFE,Jandakot,MEA40718 Certificate IV in Aeroskills (Mechanical),"Aerospace, Maritime and Logistics",,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iv-aeroskills-mechanical,English,A,When you complete the Certificate IV in Aeroskills (Mechanical) you will be looking at an exciting career working on aircraft large and small as an aviation maintenance engineer. Aircraft maintenance is a key skills growth area and your qualifications are in demand worldwide.,,Australia,Yes,Yes,,Yes,Yes,"C Grades in Year 11 WACE General English, and OLNA; or NAPLAN 9 Band 8 or C Grades in Year 11 English and Maths or equivalent or Certificate II or Certificate III",Apprenticeship,No
CERTII,South Metropolitan TAFE,Fremantle,SFI20119 Certificate II in Aquaculture,"Aerospace, Maritime and Logistics",,,AUD,Year,1,Semester,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-ii-aquaculture,English,A,"This qualification is the crucial first step towards an exciting career in aquaculture. This course provides students with a range of core skills and knowledge relevant to working in the aquaculture industry. Graduates go on to further studies or working in a range on environments including onshore aquaculture facilities, offshore culture facilities and the ornamental fish industry.",Farm hand | Shop hand | General hand | Farm labourer | Feeder | Pond worker | Hatchery | Nursery assistant,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Normal,No
