Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
CERTIII,TAFE SA,Adelaide City,Certificate III in Applied Fashion Design and Technology,Arts and Design,"$5,385",,AUD,Year,6,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01173.aspx?S=AWD&Y=2021,English,A,"This course gives you a basic understanding of design skills, pattern making and garment construction for the fashion industry. Your future career path may include producing single garments or a small range of products for small business or local distribution such as markets.","This qualification aims to give students an introductory overview of fashion design and is particularly suitable for those who are self-employed undertaking low volume production of items for local distribution outlets, such as markets.",Australia,Yes,Yes,,Yes,Yes,"No course admission requirements, however, students wishing to access subsidised training will be required to demonstrate satisfactory reading, writing and numeracy skills",Normal,No,Apply quality standards,"Identify fibres, fabrics and textiles used in the TCF industry",Participate in environmentally sustainable work practices,Work safely,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIP,TAFE SA,Adelaide City,Advanced Diploma of Applied Fashion Design and Merchandising,Arts and Design,"$18,727",,AUD,Year,24,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01155.aspx?S=AWD&Y=2021,English,A,"Enter the fashion industry with essential skills under your belt. You’ll have the skills, knowledge and insights to apply to garment design, product development, technical production and management roles in the fashion industry. Students can choose from two streams: design and product development, or business and merchandising. The course can be taken concurrently with the Bachelor of Creative Arts (Costume Design) or the Bachelor of Creative Arts (Fashion) at Flinders University.",Job role titles may include: Pattern Maker; Fashion Designer; Design Manager.,Australia,Yes,Yes,,Yes,Yes,"No course admission requirements, however, students wishing to access subsidised training or VET Student Loans will be required to demonstrate satisfactory reading, writing and numeracy skills",Normal,No,Apply quality standards,Assess impact of current fashion industry innovations and practices,Calculate cost estimates for TCF products,Develop and implement a sales or marketing strategy for fashion or textile items,Develop and present design concepts within specific guidelines,Identify fabric performance and handling requirements,"Identify fibres, fabrics and textiles used in the TCF industry",Interact and network with fashion industry participants,Operate computing technology in a TCF workplace,Participate in environmentally sustainable work practices,,,,,,,,,,,,,,,,,,,,
BA,TAFE SA,Adelaide City,Bachelor of Creative Arts (Costume Design) - Flinders University,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_UNIFL0007.aspx?S=HIGHED&Y=2021,English,A,"If your future is in costume design, this degree enables you to design and construct costumes to create iconic looks and visually stunning garments. Costumes are a vital component of stage and screen productions, but are also used in cosplay, children’s entertainment, dance and competitions. This Flinders University degree is delivered in partnership with TAFE SA, and combines theoretical study of the costume industry with hands-on experience.","Costume designer, creative director, pattern maker, product developer, buyer, production assistant, trend forecaster.",Australia,Yes,Yes,,Yes,Yes,Any Certificate III or higher OR,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,TAFE SA,Adelaide City,Bachelor of Creative Arts (Fashion) - Flinders University,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_UNIFL0004.aspx?S=HIGHED&Y=2021,English,A,"If your future is in fashion, rule the runway with the Bachelor of Creative Arts (Fashion). This Flinders University degree is delivered in partnership with TAFE SA, and combines theoretical study with hands-on experience. Explore an exciting range of classes including computer-aided illustration and design, exploring the creative process, textile and business studies, patternmaking and garment construction, all in fully-equipped, industry-standard workshops. The Bachelor of Creative Arts (Fashion) gives you a versatile skill set to begin your professional career in large or small scale fashion environments locally, interstate or internationally.","In combination with the subjects studied within the Diploma of Applied Fashion Design and Merchandising, you will study 72 units (16 topics) in the Bachelor of Creative Arts (Fashion).
In Years 1 and 2 you will study:
    Marketing Principles
    Art
    Culture and the History of Fashion
    Patternmaking, Design and Construction
    Digital Media and Graphic Design for Fashion
    Visual Thinking and Creativity
    Event Design and Practice
    Textiles Theory and Practice
    Consumer Behaviour.
In Year 3 you will choose one of two streams from: small-scale business (custom/bespoke garment construction); or large-scale business (product design and development).
The first stream will focus on more advanced practical skills and will include advanced design, patternmaking and garment construction and small business topics. The second stream will focus on advanced design and product development and business topics such as: E-business; and Corporate Sustainability in Global Markets.
Job role titles may include: Fashion designer, creative director, pattern maker, product developer, buyer, production assistant, trend forecaster.",Australia,Yes,Yes,,Yes,Yes,Any Certificate III or higher OR,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Introduction to Millinery,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T668778481.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Pattern Making for Beginners,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T021493517.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Sew your own Fashion,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T048113336.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIP,TAFE SA,,Advanced Diploma of Applied Fashion Design and Merchandising,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01155.aspx?S=INT&Y=2021,English,A,"Enter the fashion industry with essential skills under your belt. You’ll have the skills, knowledge and insights to apply to garment design, product development, technical production and management roles in the fashion industry. Students can choose from two streams: design and product development, or business and merchandising. The course can be taken concurrently with the Bachelor of Creative Arts (Costume Design) or the Bachelor of Creative Arts (Fashion) at Flinders University.",Job role titles may include: Pattern Maker; Fashion Designer; Design Manager.,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Apply quality standards,Assess impact of current fashion industry innovations and practices,Calculate cost estimates for TCF products,Develop and implement a sales or marketing strategy for fashion or textile items,Develop and present design concepts within specific guidelines,Identify fabric performance and handling requirements,"Identify fibres, fabrics and textiles used in the TCF industry",Interact and network with fashion industry participants,Operate computing technology in a TCF workplace,Participate in environmentally sustainable work practices,,,,,,,,,,,,,,,,,,,,
CERTIII,TAFE SA,,Certificate III in Applied Fashion Design and Technology (MST30816),,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/vet/vet_T150229854.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,TAFE SA,Adelaide City,Certificate III in Floristry,Arts and Design,"$6,854",,AUD,Year,12,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP00849.aspx?S=AWD&Y=2021,English,A,"This Floristry course can prepare you for work in the floristry industry or enhance existing floristry skills and knowledge. Participants will develop sound knowledge of the principles and elements of design, floristry construction skills, effective sales techniques and flower and plant care and recognition.","Job role titles may include: Florist - in any environment including a retail shop florist, studio florist or in-house florist.",Australia,Yes,Yes,,Yes,Yes,"No course admission requirements, however, students wishing to access subsidised training will be required to demonstrate satisfactory reading, writing and numeracy skills",Apprenticeships & Traineeships,No,Construct floristry products with a base medium,Construct hand tied floristry products,Construct wired floristry products,Design floristry products,Develop drawing skills to communicate ideas,Interpret floristry design briefs,Maintain floristry tools and equipment,Participate in Safe Work Practices,Prepare and care for floristry stock,Prepare quotations for floristry products,,,,,,,,,,,,,,,,,,,,
