Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
BA,University of Tasmania,Hobart,Bachelor of Agricultural Science with Honours (S4A),College of Sciences and Engineering,"151,527",,AUD,Year,4,Years,ATAR,,,60,,,https://www.utas.edu.au/courses/s4a,English,A,"The Bachelor of Agricultural Science provides a sound basis in the physical and biological sciences before you specialise in a broad range of agricultural science disciplines, giving you comprehensive multi-disciplinary knowledge suitable for careers all over the world.","There is a growing demand for skilled Agricultural Science graduates. The knowledge you will gain can see you working all over the globe, in both government and private sectors, indoors, outdoors, in the lab and the field.",Australia,Yes,Yes,,Yes,Yes,,Agronomy KLA331,"Cell Biology, Genetics and Evolution KPZ164",Biology of Plants KPA161,Pasture and Animal Science KLA211,Animal Science KLA326,Microbiology KLA210,Ecology KPZ163,Chemistry 1A Hobart KRA113,Crop Protection and Biosecurity KLA311,GIS: Introduction KGG102,"Examines the status of agronomy, including developments in breeding, physiology and management. Farming systems research is also examined through a study of topics such as seasonal forecasting and climate change,  crop sequence, crop simulation modelling and precision farming.","Cell biology, genetics and evolution are fundamental to an understanding of the processes of life. In this unit, we examine the structure and function of prokaryotic and eukaryotic cells, including a discussion of the energy flow in photosynthesis, respiration and metabolism. We introduce DNA structure and function from molecular to organism levels, and current applications of DNA technology. We also introduce classical genetic and evolutionary theory as unifying explanations of life. Laboratory practicals investigate enzyme function, cytogenetics, and the genetic analysis of populations.","Biology of Plants is a 1st year core unit for students specialising in plant science, biotechnology, and marine science. In Biology of Plants we introduce you to the origin, diversity, structure and internal processes of plants. In lectures and practical classes, we examine the fine structure of plant cells, the organisation of tissues, structure, development and sexual reproduction in flowering plants. We also examine how plants function (photosynthesis, water relations, nutrition and responses to environmental signals). In practical classes and lectures, we survey the diversity of protists (algae) and land plants (mosses, ferns, conifers and flowering plants), their origins, life-histories and evolutionary trends that have led to the successful colonisation of land.","Introduces students to the production and management of pastures and general ruminant nutrition. In the pastures component topics include pasture types and species, pasture establishment, plant growth and development, grass-legume relationships, essential nutrients for pastures, seasonality of production and fodder conservation. The animal component examines the digestive physiology of ruminants compared with monogastrics, basic nutrition (protein, energy, water, vitamins, minerals, etc.), the development of feeding systems, feedstuff analysis, ration formulations, introductory animal breeding and genetics, animal selection methods, alpaca and goat production. Practicals provide experience in pasture assessment and laboratory techniques for the determination of feed quality.","This unit explores animal science within the scope of modern agriculture. During the unit, students will gain knowledge of the science underpinning different aspects of modern animal production. Students will be encouraged to engage with the scientific literature and identify suitable sources of information when completing the assessment tasks.","Provides students with a basic knowledge of microbiology including bacteria, fungi, protozoans and viruses. The unit considers the place of microorganisms in the evolution of life on earth, their structure, chemistry, biology and ecology, and consideration of their role in disease, ecosystems, food production and biotechnology. The practical component provides students with skills in the cultivation and identification of bacteria and fungi, as well as an introduction to techniques in molecular microbiology.","A series of lectures and associated practical classes introduces fundamental concepts in ecology of both plants and animals. It also introduces behavioural and evolutionary ecology and experimental methods. There is a strong emphasis placed on developing skills in practical ecology and scientific writing. Students are expected to participate in some group activities. This unit is taught in a blended style with most material delivered face to face, and some  delivered online.","Together with Chemistry 1B, this unit is a required prerequisite for those students intending to major in Chemistry and for those intending to proceed to 2nd year chemistry. It provides students with fundamental knowledge and concepts in inorganic, physical, analytical, and organic chemistry, with applications in both the physical and biological sciences. Topics include bonding and structure, thermodynamics and the chemistry of organic functional groups. Laboratory sessions are designed to increase students' manipulative skills and, where possible, to reinforce the lecture program.","Studies the principles and practices of management of plant diseases, pests and weeds. Modules of teaching within the unit will include: (1) Weeds (2) Pest and Disease Monitoring and Decision Making (3) Chemicals in Crop Protection (4) Cultural Control and Host Plant Resistance (5) Biological Control and (6) Integrated Pest and Disease Management.","Geographic Information Systems (GIS) are used in a wide range of disciplines to investigate and display characteristics of data that vary with location. Producing a map to present spatial information is a skill that is itself valuable to scientists in visualising such data, but the GIS has further capabilities in performing logical operations on multiple data sets obtained over a region. Through practical sessions within this unit you will acquire skills in using GIS. Supporting lectures address the principles behind spatial data representation, data structures, cartography, projections, data models, and spatial analysis. Emphasis is placed on the foundations of GIS for the input, management, and querying of spatial data, and these fundamentals are illustrated with a range of interesting environmental and social applications. Irrespective of your discipline, the skills and concepts acquired in this unit will benefit your appreciation of the spatial nature of information and interpretation of spatial data characteristics. This unit forms part of the GIS and Remote Sensing Major and Minor.",,,,,50101,,,,,
ADEG,University of Tasmania,Hobart,Associate Degree in Agribusiness (Z2A),,"50,875",,AUD,Year,2,Years,,,,,,,https://www.utas.edu.au/courses/z2a,English,A,"The Associate Degree in Agribusiness is an industry-focused course that prepares people to become dynamic, creative, and adaptable practitioners with the skills and knowledge to ensure that the business of agriculture is profitable and sustainable in a modern economic climate. It is an ideal steppingstone for those currently working in agriculture who wish to move into leadership and management roles, or a great foundation for those wishing to enter the industry.",Career Outcomes,Australia,Yes,Yes,,Yes,Yes,,Fundamental Principles of Agriculture (A) ZAB221,Business Finance ZAA133,Herd and Pasture Management ZAB229,Managing People ZAA132,Principles of Soil Management ZAB224,Data and Analysis ZAB114,"Principles of Weed, Pest and Disease Management ZAB119","E-agribusiness, Technology and Innovation ZAB226",Value Chain Management in Agribusiness ZAB116,Fundamental Principles of Agriculture (B) ZAB222,"This unit will provide you with an understanding of biological, geological, chemical and physical processes, in an agricultural context (commercial food and fibre productions systems). Processes explored will include biogeochemical cycles, photosynthesis, respiration, energy flows and transfer of nutrients. You will learn about the roles and interactions of living organisms and non-living components of agricultural production systems. You will have the opportunity to explore agricultural production systems and processes through practical experiences, tutorials and workshops.","This unit will provide you with an understanding of financial concepts, practices and tools used to measure and assess the financial performance of a business within the business operating environment. Throughout the unit, case studies, tasks and simulations will develop your skills and knowledge to apply financial practices and processes to create financial statements and reports for business.","This unit focuses on the critical components of animal management on profitability and sustainability of ruminant production systems. Topics will include animal health, welfare, fertility and genetics. You will investigate the main factors affecting ruminant health and the strategies available to prevent and manage such conditions. You will explore how animal ethics and welfare need to be incorporated into farm planning. The unit will provide examples of how farmers improve ruminant reproductive performance, irrespective of their farming system and how they make informed decisions around breeding.","The effective and efficient operation of business is human resource intensive. Strategies used to attract, motivate, manage and retain the right people are essential skills for all business managers for business success. This unit introduces you to how Human Resource practices including functions such as recruitment, training, performance management and teamwork. You will explore the legal framework incorporating fairness and respect, health and safety, and equity and diversity that underpins human resource practice, using business examples and applied activities.","In this unit you will discover how soil characteristics including plant nutrient availability, pH, electrical conductivity and physical and biological properties underpin and inform the development and implementation of soil management strategies. You will also investigate how soil health, plant productivity and ecosystem services can be influenced by production activities including land use, irrigation, cultivation and applications of soil amendments such as organics, fertiliser, lime and gypsum.","In this unit, you will be introduced to mathematical and statistical methods for analysing scientific, business or technical data to inform and support decision-making. You will explore why data is needed and how it is used to make decisions, including how data are collected, analysed, interpreted and presented, and you will learn and apply a suite of common statistical and mathematical methods to generate evidence for decision-making. You will also be introduced to data management software and learn how to represent and communicate mathematical and statistical information effectively. Through case studies relevant to your discipline, you will learn how to problem solve, generate evidence, and present solutions using data handling and statistical approaches.","In this unit you will explore the risks and challenges of pests, weeds and diseases in primary production, in terms of the relative impact on productivity, profitability and market access. You will also investigate various on-farm control methods that are used within an Integrated Pest Management framework to manage those risks. You will be provided with on-farm scenarios to investigate potential solutions for issues using a design thinking approach.","This unit creates a practical awareness of e-enabled agribusiness and the use of technology in areas such as precision agriculture, livestock tracking and food traceability.  You will explore the concepts of innovation including the innovation diffusion process and observe the difference between product and process innovation. The unit will prepare you to evaluate the opportunities technologies and e-business can provide new and existing agri-businesses.","In this unit you will be introduced to the concept of value chains and how they are managed in primary production to improve business performance. Value chain management (VCM) is an important strategy that integrates supply chain components and processes with performance management, monitoring, communication, governance and value. You will investigate stakeholders, beneficiaries, value chain structure and value-creating elements, and be exposed to how a focus on value can benefit all the businesses in a producer-to-consumer chain. Through online learning activities, case studies, tutorials and workshops, you will explore how enablers and barriers can affect net value of products to end users and each participant and impact the efficiency and effectiveness of the whole value chain.","In this unit you will explore the human impact of agricultural production on the services provided by the chemical, physical, biological and geological Earth systems. You will also be introduced to how these services can impact agricultural production in relation to biosecurity, food security, food quality and food safety. You will be provided the opportunity to find practice based integrated management solutions that are sustainable, economically viable, socially and ethically acceptable and environmentally feasible.","2020: $1,190.00","2020: $1,394.00",,"2020: $1,394.00","2020: $1,190.00","2020: $1,190.00",,"2020: $1,190.00","2020: $1,394.00","2020: $1,190.00"
DIP,University of Tasmania,Hobart,Diploma of University Studies (21A),,,,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/21a,English,A,Students completing the Diploma of University Studies will meet the University’s General Entry Requirements and will have guaranteed entry into specified bachelor degrees (dependent on specialisation).,The Diploma of University Studies is a pathway program for bachelor level study.,Australia,Yes,Yes,,Yes,Yes,,Global Geographies of Change KGA171,Academic Writing XAB021,Academic Numeracy XAB091,Learning at University XAB011,"Space, Place and Nature KGA172",,,,,,"This introduction to geography and environmental studies integrates physical and social science inquiry. You study earth evolution, human development and their interaction, in light of questions about sustainability. You apply this knowledge to issues of vital importance around the world and in Tasmania, including climate change, population change, inequality, food security, natural hazards and globalisation. Interactive workshops enable you to explore these issues through training in mapping and fieldwork, and group projects, scenario building and class debates. Knowledge and skills developed in this unit can be applied in a wide variety of professions including environmental science and management, social policy and planning, spatial science, international development and nature conservation. Students wishing to enrol in second and third year units in geography and environmental studies should also take KGA172 Space, Place and Nature in Semester 2, which can be taken before KGA171 for mid-year entry students.","In this unit you will develop your ability to communicate in written form in a university environment. You will gain the skills and develop strategies to plan and write academically. In particular, you will analyse assignment tasks, learn how to structure an essay, draw on your critical thinking skills, and synthesise multiple academic sources and reference these in-text.","In this unit you will develop the mathematical knowledge, skills, and confidence essential for further University study. In particular, you will explore and apply methods for:","This unit provides underpinning skills, theories, techniques, and strategies to prepare you for University-level study and to understand yourself as a learner. You will be introduced to concepts of self-management and relevant practical skills that can be applied effectively in other units. You will explore concepts such as strengths-based learning, engagement and flow, motivation, work/life balance, resilience strategies, critical thinking, and work styles. In addition, you will learn and utilise practical skills such as reflective writing, preparing oral presentations, productivity, transferable skills, goal setting, research methods, career investigation, expository writing, mind mapping and effective study techniques. The overarching aim of this unit is to provide you with the recognition of your strengths and skills, strategies to develop confidence as a student and to be successful in your future university studies.","This foundation unit in Geography and Environmental Studies develops your knowledge of the ways in which people turn space into place, how patterns of landforms, soils, plants and animals form on the surface of the earth, and how cultures, societies and economies manage, and are affected by, ecosystem processes. Workshops, many of which are in the field, will provide you with tools to spatially relate geographic phenomena, describe landforms, soils and vegetation, and undertake value analyses of environmental and cultural issues. Local examples that have wider application will be the focus of workshops. This unit is useful for a wide variety of occupations and professions, as well as enhancing everyday existence. Students wishing to do second and third year units in Geography and Environmental Studies should also take KGA171 The Global Geography of Change.",,,,,,,2020: $835.00,"2020: $1,190.00",2020: $835.00,"demonstrate basic geographical knowledge of ecological and social systems, identify and analyse different value positions that shape human relationships with nature, apply geographical skills to collect ecological and social data, and use this to create basic maps and graphs, communicate critical thinking through literature‐based research, visual presentation of geographic data, teamwork and practices of academic integrity",,,,,
BA,University of Tasmania,Hobart,Bachelor of Agriculture with Honours (S4X),College of Sciences and Engineering,"35,950",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/s4x,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Honours A KLA478,,,,,,,,,,"(a) they have achieved an
adequate standard, normally a credit average in Group 3 units, and (b) that a
suitable project and supervisor are available.",,,,,,,,,,,,,,,,,,,
ADEG,University of Tasmania,Hobart,Associate Degree in Applied Science (Z2J),,"50,875",,AUD,Year,2,Years,,,,,,,https://www.utas.edu.au/courses/z2j,English,A,"The Associate Degree in Applied Science is an industry-focused program designed for people interested in working in fields that require specialised skills and knowledge of applied science principles and processes, including those who may never have considered a career in science. The streams  available under this course are: Fermentation and Separation  and  Sustainable Aquaculture. The Fermentation and Separation stream has been developed for people interested in working in innovative  food and beverage industries such as brewing, winemaking, fermented food and drink production, the stream also prepares graduates to learn about the premium bio-industries (essential oils, seaweed based fertilisers, poppies, pyrethrum and biodiesel). Core subjects include applied biology, applied chemistry, data and analysis, quality management and sustainability are integrated with stream subjects such as applied microbiology and fermentation principles and processes. Throughout the course, students can choose four elective subjects to develop their areas of interest.",These associate degrees are not only important for those wanting to enter the industry but highly relevant for those in the industry looking to upskill with the potential to articulate to a full bachelor degree.,Australia,Yes,Yes,,Yes,Yes,,Understanding Science ZAS112,Managing Projects ZAA233,Sustainability ZAS118,Quality Management ZAS231,Data and Analysis ZAB114,Applied Chemistry ZAS233,Applied Biology ZAS117,Regulatory Challenges ZAS232,,,"This unit provides a multidisciplinary introduction to the nature of science and scientific knowledge, the methods of science, and the communication of science. You will encounter perspectives on the nature and role of science in society and examine what science is, the importance of science for sustainable development and the role of ethical conduct in scientific endeavour. You will develop and enhance your scientific literacy to a level that will enable informed interpretation and communication of scientific information and an awareness of ethical conduct in scientific disciplines.This unit also incorporates learning through practice by exposing you to authentic learning experiences. These experiences are placed at the centre of learning and assessment, for you to develop the skills, knowledge and behaviours necessary to respond to industry, community and/or global needs.","In this unit you will investigate approaches to design and delivery of projects in industry contexts. This will include identifying  and analysing relevant concepts, tools and processes used in the formulation, delivery and management of projects. Investigations will focus on practical examples and incorporate analysis and design of your own major project through the delivery of the unit. You will develop skills in analysis of project management processes and problem solve to formulate a project utilising a range of tools.","Do you want to participate in transformations for a better world? Do you want to know how to make a difference? In this unit, you will learn ways to do this, by drawing on a framework that assembles the 17 United Nations Sustainable Development Goals into 6 organised groups. The framework is in line with the latest global efforts and will help you contribute to achieving the Sustainable Development Goals by 2030, and a just, and sustainable world by 2050. You will assess environmental, social, and economic implications, evaluate approaches to sustainability and analyse and communicate information to aid decision-making. Topics covered include education, health, energy, sustainable food production, land, water and oceans, sustainable cities and communities, digital transformation and circular design. You will learn why we need to rethink and redesign the way we make and consume things, while examining success stories along the way. As immediate and ambitious action is necessary to achieve a sustainable future, you will explore, ‘how are we going to get there?’ as well as your own role in contributing to change.","Quality management focuses on the quality of physical products as well as services and processes, and how they can be improved.  The principles and processes of quality management are the key elements that businesses use to respond to market and customers’ needs and maintain business viability through improved efficiency, product quality and safety, and improvement of service delivery.","In this unit, you will be introduced to mathematical and statistical methods for analysing scientific, business or technical data to inform and support decision-making. You will explore why data is needed and how it is used to make decisions, including how data are collected, analysed, interpreted and presented, and you will learn and apply a suite of common statistical and mathematical methods to generate evidence for decision-making. You will also be introduced to data management software and learn how to represent and communicate mathematical and statistical information effectively. Through case studies relevant to your discipline, you will learn how to problem solve, generate evidence, and present solutions using data handling and statistical approaches.","In this unit, you will acquire and apply foundational knowledge of biochemical processes and techniques that underpin applied science industries. During a laboratory workshop you will apply selected techniques for monitoring, measuring, analysing key parameters relating to biochemistry and water quality in applied science.  You will be introduced to a range of topics such as biologically important molecules, biochemical reactions, chemical analysis, states of matter, and acid-base chemistry.  You will apply your knowledge to industry based problems and potential solutions.","In this unit, you will be introduced to the theory and practice of biology.  Key topics include the cell, metabolism, heritable information, growth and reproduction, sensing and response, and adaptation and evolution.  You will learn practical laboratory techniques, and use them to complement and extend your understanding of the concepts discussed within the context of a field/laboratory study.  You will also learn how to use biological data to drive decision making in the context of an applied science business, and develop written and oral communication skills that enable you to communicate biological concepts, and the objectives and results of, and conclusions drawn from, biological studies.","In this unit you will be introduced to the regulatory environment in which applied science enterprises operate.  In particular, you will explore the regulatory challenges of product safety, biosecurity and environment protection, as well as business practices inherent in product development, manufacture and commercialisation.  You will gain familiarity with various bodies (including local, state and federal government) that regulate applied science enterprises, learn how various tools including Australian and international standards support regulatory compliance by business, and apply your knowledge to explore questions of compliance in work-based scenarios.",,,"2020: $1,190.00","2020: $1,394.00","2020: $1,190.00",,"2020: $1,190.00",,"2020: $1,190.00",,,
DIP,University of Tasmania,Distance Hobart,Diploma of Sustainable Living (Z1K),University College|College of Sciences and Engineering,,,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/z1k,English,A,"The Diploma of Sustainable Living aims to link participants’ lived experience as an individual, consumer and citizen with learning for sustainability at a range of scales; regional, nationally and globally.","As a graduate of the Diploma of Sustainable Living you will possess new skills, outlooks on living, and a deeper understanding of sustainability in an ever changing world which will complement your existing career direction.",Australia,Yes,Yes,,Yes,Yes,,Local Lives for a Sustainable Planet KGA107,Communicating Sustainability HEJ111,,,,,,,,,"This unit involves both critical reflection on the UN Sustainable Development Goals and critical reflection on lives lived in the context of the UN Sustainable Development Goals. Students will learn and apply Theory of Change techniques to identify, plan, implement and evaluate the impact of actions for positive change. This capstone unit will give students the opportunity to bring together their learnings and apply their sustainability knowledge and literacy to aspects of their own lives, and identify how it can contribute to sustainable outcomes within their wider community and globally.","Sustainability is a central concept for communities pursuing social and economic goals within ecological limits. Yet the different ways sustainability is defined, communicated and enacted reflects the wide range of underlying values, perspectives and priorities at stake. In this unit, students will explore the rich history and literature of sustainability, including the formation of the United Nation’s Sustainable Development Goals. By exploring the concept across economic, social and ecological thinking, students will develop the sustainability literacy required to think critically about sustainability in their own lives and in their communities so they are better equipped to communicate sustainability to diverse audiences.Employing practical skills in stakeholder engagement, narrative and visual communication, students will develop their research and communication skills to implement a sustainability solution in their local communities.",,,,,,,,,"2020: $1,190.00",,,,,,,,,
BA,University of Tasmania,Launceston,Bachelor of Architecture and Built Environments (P3H),College of Sciences and Engineering,"93,031",,AUD,Year,3,Years,ATAR,,,60,,,https://www.utas.edu.au/courses/p3h,English,A,"The Bachelor of Architecture and Built Environments is a pre-professional course designed to ensure our graduates have the competencies necessary to gain admission to the Master of Architecture, and equivalent courses in design fields addressing the built environment.","Cumulus Studio was chosen for the online accolade by Architizer, an international journal based in New York City and curated by architects around the world. All four directors and more than half of the staff are graduates from the University’s Architecture and Design. Cumulus Studio was founded in Tasmania in 2011, and its success shows, with offices now in Hobart, Launceston and Melbourne.",Australia,Yes,Yes,,Yes,Yes,,Architecture Theory: Built Environments KDA235,Architecture Theory: Discipline Futures KDA349,Architecture Studio: Space KDA138,Architecture Study Tour KDA373,Visualising Design KDA144,Learning by Making B KDA382,Architecture Technology-Studio: Heritage KDA337,Architecture Technology: Structure and Surface KDA245,Architecture Technology: Light and Sound KDA243,Architecture Studio: Place KDA140,"Bachelor of Architecture and Built Environments Architecture Theory units focus on establishing and enhancing students’ capacity to think with clarity and rigour to ensure solid bases for research inquiry and design practice. At Intermediate level, these units provide foundational understandings of the history and lived spaces of architecture and built environments. This unit is part of a suite of four units in the degree core of B.ABE and the Spatial Design practice specialisation in the Bachelor of Design. Architecture Theory: Built Environments explores key political, cultural and social themes and their relation to the production and inhabitation of the built environment. A series of thematic lectures introduces you to ideas and precedents in spatial design disciplines across a range of scales and a breadth of historical and cultural contexts. You will extend your understanding of histories and theories of the built environment through critical debate with peers and experts and focused inquiry into related and differentiated precedents along themes of personal interest. Based on your selected topic of inquiry, you will explore design implications through interpretation of ideas, objects and spatial environments in relation to your own field of disciplinary specialisation through formal, spatial and material investigations.","Bachelor of Architecture and Built Environments Architecture Theory units focus on establishing and enhancing students’ capacity to think with clarity and rigour to ensure solid bases for research inquiry and design practice. At Advanced level, the units concentrate on building understandings of and attitudes towards the present and forecasted futures of Architecture and your role in the field and profession. In Architecture Theory: Discipline Futures, you will identify and refine potential trajectories, and target future opportunities in design practice aligned with your own interests. You will research and investigate different emerging fields of practice in design and discuss the complexities embedded in moral and ethical obligations, both as an individual practitioner and in relation to the profession. You will develop a personal design philosophy that identifies and justifies your position and aspirations in relation to your design field and future-focused practice. Based on your identified position, you will be supported through workshops to develop a targeted portfolio and CV or design research statement that prepares you for future practice or further study.","Bachelor of Architecture & Built Environments Architecture Studio units focus on the development and refinement of conceptual, analytical and technical skills through applied problem-based learning in a diverse range of real-world contexts. In first year, Studios focus on establishing foundational design knowledge and competencies. This unit is part of a suite of four units in the degree core of B.ABE and the Spatial Design practice specialisation in the Bachelor of Design. Architecture Studio: Space focuses on the development of foundational knowledge and skills related to the adaptation of urban environments. Through processing historical and contemporary precedents, you will develop an understanding of architectural elements and principles of space and relation. A series of exercises introduce you to abstract, conceptual approaches to design, and guide you through operations that explore lived space. You will be introduced to frameworks for understanding the physical and social structures of cities and the implications for design and develop critical skills in observation and analysis of urban environments. Employing a variety of related conceptual design and communication techniques, you will explore generative approaches to urban intervention that connect the macro city context to the micro design of public interiors and urban spaces.","Architecture Choice Units offer students a chance to select units from a range of options that suit their personal interests and professional aspirations. All units express key aspects of our program … Architecture Study Tour involves visits to a range of buildings, sites, neighbourhoods and landscapes, as well as related architectural activities. The aim of the unit is to enhance students' understanding and appreciation of architecture, context and landscape by visiting and experiencing buildings and places of architectural and/or aesthetic interest and merit, in a location other than that in which they live. Students will photograph, sketch and analyse the buildings and places visited, culminating in a presentation or exhibition..","In this unit you will be introduced to a range of visual tools and techniques for conceptualising and communicating complex relationships and generating new insights through design. Through a combination of interactive, self-directed learning activities and practical exercises, you will develop skills in a range of digital and analogue visual analysis and communication techniques. These techniques, including diagramming, sketching, mapping and visual storytelling, are central to the design disciplines and transferable across a variety of contexts. A major output of the unit is a design portfolio demonstrating critical evaluation and application of design visualisation techniques for specified contexts. In the final task you will explore design visualisation techniques related to a topic of your choice.","This unit focuses on designing products for batch or multiple productions. Students are encouraged to develop individual and innovative approaches in the designing and making of contemporary, commercially viable items for manufacture. Workshop and studio activities will include student evaluations of the process for achieving design quality. Students will be required to submit design propositions to clients, consultants and authorities for their approval. Students will employ model-making to develop and test innovative design propositions and use digital media to prepare documentation and budget projections.","Bachelor of Architecture & Built Environments Architecture Studio units focus on the development and refinement of conceptual, analytical and technical skills through applied-problem-based learning in a diverse range of real-world contexts. In third year, Technology–Studios are double-weighted capstone units emphasising the creative synthesis and critical application of knowledge and skills encompassing technologies, theories and spatial design principles. Architecture Technology–Studio: Heritage focuses on the detailed design of interior spaces and elements framed by critical interrogation of key debates, positions and practices in cultural heritage conservation. You will explore notions of context in the broadest cultural sense, developing an appreciation for both built fabric and the cultural meaning of places. Through expert lectures, interactive and self-directed activities you will gain knowledge of principles of indoor environment quality and user experience of space. You will apply this knowledge in the design of interior spaces and joinery elements within an existing building synthesising attitudes to heritage conservation and user experience with consideration of spatial organisation, atmosphere, interior detailing and conformance with relevant regulatory requirements. Applying knowledge of object-based modelling you will communicate and document context and design propositions employing professional conventions and rendering techniques.","Bachelor of Architecture and Built Environments Architecture Technology units focus on establishing key concepts and principles related to the physical facts of architecture and human experience of these facts. At Intermediate level, these units develop focused knowledge and skills at key intersections between materiality and human inhabitation. Architecture Technology: Structure and Surface focuses on the development of core knowledge and skills in structures and construction. You will apply foundational knowledge of structural principles and systems to the design of building structures and surfaces emphasising the relationship to design intent and environmental sustainability, including design approaches for different climate types. Through lectures, workshops, self-directed activities and site visits you will gain understanding of structural systems for different building types and scales, the technical and environmental performance of materials, construction elements and building components and the requirements of relevant building standards. You will also be introduced to techniques and professional conventions of technical documentation and apply this knowledge in the detailed design and communication of construction detailing for building structures and surfaces.","Bachelor of Architecture and Built Environments Architecture Technology units focus on establishing key concepts and principles related to the physical facts of architecture and human experience of these facts. At Intermediate level, these units develop focused knowledge and skills at key intersections between materiality and human inhabitation. This unit is part of a suite of four units in the degree core of B.ABE and the Spatial Design practice specialisation in the Bachelor of Design. Architecture Technology: Light and Sound focuses on the use of light and sound in the creation of diverse spatial environments. Through structured activities, field observations and precedent studies you will investigate the physical and experiential properties of light and sound and their interaction with spaces and surfaces. You will be introduced to a variety of analogue and digital methods and techniques for visualising, evaluating and communicating lighting and sound designs. Applying this knowledge to a topic of your own interest, you will undertake a speculative design inquiry exploring the transformational effects of light and sound within a particular spatial context.","Bachelor of Architecture & Built Environments Architecture Studio units focus on the development and refinement of conceptual, analytical and technical skills through applied problem-based learning in a diverse range of real-world contexts. In first year, Studios focus on establishing foundational design knowledge and competencies. Architecture Studio: Place focuses on the development of foundational knowledge and skills related to the design of objects in landscapes. Through examination of historical and contemporary precedents, you will develop understanding of architectural elements and principles of place, form and order. A series of exercises introduce you to empirical approaches to site analysis and design including understanding of topography, design for climate and experiential dimensions of place. You will also develop foundational analogue skills in imagining, representing and testing ideas in 2D and 3D through sketches, diagrams, model-making techniques and orthographic projections across relevant scales from the site to the detail. At the culmination of the unit you will apply your knowledge and skills in a design proposal for a small-scale habitable structure.","Interrelate key political, cultural and social themes in relation to the production and inhabitation of the built environment., Interpret historically and culturally situated ideas and objects through formal, spatial and material investigations., Curate a selection of related and differentiated precedents within a focused design inquiry.","Locate and justify personal position in relation to fields and practices of design, Employ effective communication strategies for professional or academic audiences, Identify and critically discuss legal and ethical issues in design","Identify qualities and characteristics of urban settlements and spaces through detailed analysis of context and patterns of occupation., Apply generative design approaches informed by critical analysis of historical and contemporary precedents., Connect macro and micro scales in the design of public interiors and urban spaces., Communicate 3D spatial design propositions using abstract techniques, orthographic projections and descriptive writing.","Reflect, critique and analyse various approaches, models and principles of design in different community and cultural contexts., Demonstrate skills and competencies in intercultural awareness., Employ critical, exploratory and conceptual thinking to engage in and constructively evaluate the processes of collaborative designing and/or making., Collaborate with peers and take responsibility for aspects of trip activities, including work health and safety.","Evaluate visual techniques used in design disciplines and assess their role in conceptualising and communicating ideas and information., Employ research, observation, and critical thinking in the interpretation and analysis of relationships., Apply design visualisation techniques to illustrate relationships., Identify and adopt design communication strategies to clearly convey ideas and engage relevant audiences.","Speculate: Employ critical, exploratory and conceptual thinking to formulate design propositions, including active and reflective precedent research., Collaborate: Demonstrate a willingness and capacity to work collaboratively with peers and an ability to take responsibility for aspects of project management - including interactions with clients, stakeholders, local authorities - in order to satisfy the requirements of the brief., Communicate: Employ diverse media, tools and techniques to communicate in a professional, engaging and critically reflective manner. Demonstrate an ability to plan and apply Workplace Health and Safety., Demonstrate an ability to use ‘making’ (either in models or full-scale assembly) as a way to inform and develop  detailed design thinking, particularly in terms of the use of materials, components and to assist in the  communication of ideas.","Contextualise design approaches for adaptive reuse projects through critically interrogating key debates, positions, practices and precedents in cultural heritage conservation, Justify design priorities through interpretation of local context, user experience and principles of indoor environment quality, Synthesise priorities in the development of detailed designs and documentation of interior spaces and elements, Document and communicate design propositions to professional audiences using object-based modelling and rendering techniques","Evaluate materials, construction elements, and building components with reference to their technical and environmental performance and building standards requirements, Organise and size elements of various structural systems by applying structural principles and industry ‘rules of thumb’, Justify the selection of structure and construction systems in relation to the intended outcomes of design expression, building scale and envelope performance, Produce technical documentation to communicate construction detailing for building skins","Articulate the physical properties of sound and light and their relation to surface, Manipulate sound, light and surface to create diverse spatial experiences, Use analogue and digital processes to visualise, evaluate and communicate lighting and acoustic designs for spatial environments","Identify design priorities for a specific site through detailed site analysis and application of climate design principles., Conceptualise design ideas informed by speculative and critical analysis of historical and contemporary precedents., Employ iterative design processes to develop and refine designs in response to a given project brief., Communicate 3D spatial design propositions using model-making techniques, orthographic projections and diagrams."
