Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
MST,University of Tasmania,Hobart,Master of Agricultural Science (S8A),,,,AUD,Year,,Year,,,,,,,https://www.utas.edu.au/courses/s8a,English,A,,Master of Research degrees are internationally recognised research degrees.,Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Hobart,Master of Applied Science (Agricultural Science) (K7J1),College of Sciences and Engineering,"62,983",,AUD,Year,2,Years,IELTS,,,6,,,https://www.utas.edu.au/courses/k7j1,English,A,"This course provides you with the opportunity to acquire advanced current knowledge in Agricultural Science. In addition, you will develop a capacity for independent research and problem-solving that can lead to workplace research and/or a degree by higher research (Masters or PhD).",,Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Hobart,Master of Applied Science (Microbiology) (K7J6),College of Sciences and Engineering,"62,983",,AUD,Year,2,Years,IELTS,,,6,,,https://www.utas.edu.au/courses/k7j6,English,A,"This course provides you with the opportunity to acquire advanced current knowledge in Microbiology. In addition, you will develop a capacity for independent research and problem-solving that can lead to workplace research and/or a degree by higher research (Masters or PhD).",,Australia,Yes,Yes,,Yes,Yes,
GCERT,University of Tasmania,Domestic,Graduate Certificate in Timber (Processing & Building) (K5E),College of Sciences and Engineering,"13,725",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/k5e,English,A,"Timber and other wood products are manufactured around Australia from renewable native and plantation forest resources. They are also major materials used in the construction of buildings and other structures throughout the landscape. While a traditional choice in many applications, timber and wood products are increasingly highly engineered products whose effective use requires advanced capabilities in manufacture, design and construction. Renewable and a store for carbon, these products can also be the basis of sustainable building solutions.","With recent consolidation in Australia's wood production industry, there is considerable industry and employer demand for people skilled in the production of wood products. Also, with increased interest in sustainable construction, opportunities exist for specialists in the design, construction, maintenance and management of timber-rich buildings and structures.",Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Launceston,Master of Architecture (D7C),College of Sciences and Engineering,"67,053",,AUD,Year,2,Years,,,,,,,https://www.utas.edu.au/courses/d7c,English,A,The Master of Architecture degree is an accredited professional degree that provides advanced education in architecture and is the principal pathway to registration as a practising architect.,"""I’ve learnt a lot at the University of Tasmania, not only about my own abilities creatively, but also about how the professional world works and how I might fit into that in the future.What I’ve enjoyed most is definitely the people that I’ve met, not only my peers, but the professionals that I’ve had the chance to meet who come in and give us a huge insight into what they do and what kinds of fields we could break in to – that’s been a huge plus I think about studying here.""",Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Hobart,Master of Planning (K7P),College of Sciences and Engineering,"69,088",,AUD,Year,2,Years,IELTS,,,6,,,https://www.utas.edu.au/courses/k7p,English,A,"In this professionally accredited course, you will learn theoretical, technical and communication skills required by planning professionals. You will learn a range of essential planning competencies from the legal or statutory side of planning to the bigger picture or strategic side. These two sides of planning, legal and big picture, combine in a powerful way to enable planners to vision and action more sustainable futures.","Something I really appreciate about this course is just how well connected these subjects are with planning professionals. You get great access to the industry, and the depth of knowledge and the complexity of issues that these people are dealing with takes the course beyond the textbook.",Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Hobart,Master of Fine Arts (F8A),,,,AUD,Year,,Year,,,,,,,https://www.utas.edu.au/courses/f8a,English,A,,Master of Research degrees are internationally recognised research degrees.,Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Hobart,Master of Music (F8C),,,,AUD,Year,,Year,,,,,,,https://www.utas.edu.au/courses/f8c,English,A,,Master of Research degrees are internationally recognised research degrees.,Australia,Yes,Yes,,Yes,Yes,
GCERT,University of Tasmania,Hobart,Graduate Certificate in Business Studies - Domestic (35A2),College of Business & Economics,"17,975",,AUD,Year,0.5,Year,,,,,,,https://www.utas.edu.au/courses/35a2,English,A,,"Completion of this program gives students the opportunity to undertake further postgraduate programs with the Tasmanian School of Business and Economics, which may have career change or advancement benefits for graduates.",Australia,Yes,Yes,,Yes,Yes,
GCERT,University of Tasmania,Distance Sydney,Graduate Certificate in Health Service Management (C5I),College of Business & Economics,,,AUD,Year,0.5,Year,IELTS,,,6,,,https://www.utas.edu.au/courses/c5i,English,A,The Graduate Certificate in Health Service Management is designed to provide health service management professionals from both the public and private sectors with rigorous training focussed on issues of contemporary professional health service management practice.,,Australia,Yes,Yes,,Yes,Yes,
GCERT,University of Tasmania,Launceston,Graduate Certificate in Maritime and Logistics Management (J5N),College of Sciences and Engineering,"16,500",,AUD,Year,0.5,Year,,,,,,,https://www.utas.edu.au/courses/j5n,English,A,,"The organisations connected with the maritime and logistics industries are very diverse, including for instance large private companies, entrepreneurial start-ups and government entities. The diversity creates many opportunities for your career progression, both globally and domestically. For example, the maritime industry includes ports, shipping companies, stevedores and tourism and the logistics industry encompasses warehousing, road freight, air freight, freight forwarding and distribution. Additionally, many organisations may have a primary focus on manufacturing or international business, which will necessitate that they have internal departments involved in logistics, supply chain management and international trade, creating more opportunities. With logistics the fastest growing industry globally, there are many possibilities for you to choose.",Australia,Yes,Yes,,Yes,Yes,
GDIP,University of Tasmania,Distance Sydney,Graduate Diploma of Health Service Management (C6I),College of Business & Economics,,,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/c6i,English,A,,,Australia,Yes,Yes,,Yes,Yes,
GDIP,University of Tasmania,Launceston,Graduate Diploma of Maritime and Logistics Management (J6N),College of Sciences and Engineering,"34,950",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/j6n,English,A,,"The organisations connected with the maritime and logistics industries are very diverse, including for instance large private companies, entrepreneurial start-ups and government entities. The diversity creates many opportunities for your career progression, both globally and domestically. For example, the maritime industry includes ports, shipping companies, stevedores and tourism and the logistics industry encompasses warehousing, road freight, air freight, freight forwarding and distribution. Additionally, many organisations may have a primary focus on manufacturing or international business, which will necessitate that they have internal departments involved in logistics, supply chain management and international trade, creating more opportunities. With logistics the fastest growing industry globally, there are many possibilities for you to choose.",Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Hobart,Master of Business Administration (International) (37J),College of Business & Economics,"71,123",,AUD,Year,2,Years,,,,,,,https://www.utas.edu.au/courses/37j,English,A,,"MBA Graduates can become the future leaders in business, locally, nationally and globally. An MBA gives students the skills required to lead and achieve in their chosen field, from general management through to specialist industries, and from SMEs to multinational corporations.",Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Launceston,Master of Business Administration (Marine Environment and Management) (27D),College of Sciences and Engineering,"52,278",,AUD,Year,1.5,Years,,,,,,,https://www.utas.edu.au/courses/27d,English,A,"This course is designed to provide both existing and potential middle and senior managers with management knowledge and expertise, including its application to the marine environment. With the focus on an applied approach to this critical industry, and its marine environment, centred on strategic and analytical thinking, a unique educational experience is provided.","The organisations connected with the maritime and logistics industries are very diverse, including for instance large private companies, entrepreneurial start-ups and government entities. The diversity creates many opportunities for your career progression, both globally and domestically. For example, the maritime industry includes ports, shipping companies, stevedores and tourism and the logistics industry encompasses warehousing, road freight, air freight, freight forwarding and distribution. Additionally, many organisations may have a primary focus on manufacturing or international business, which will necessitate that they have internal departments involved in logistics, supply chain management and international trade, creating more opportunities. With logistics the fastest growing industry globally, there are many possibilities for you to choose.",Australia,Yes,Yes,,Yes,Yes,
MST,University of Tasmania,Launceston,Master of Business Administration (Maritime Technology and Management) (27E),College of Sciences and Engineering,"52,278",,AUD,Year,1.5,Years,,,,,,,https://www.utas.edu.au/courses/27e,English,A,"This course is designed to provide both existing and potential middle and senior managers with management knowledge and expertise, including its application to maritime operations. With the focus on an applied approach to this critical industry, centred on strategic and analytical thinking, a unique educational experience is provided.","The organisations connected with the maritime and logistics industries are very diverse, including for instance large private companies, entrepreneurial start-ups and government entities. The diversity creates many opportunities for your career progression, both globally and domestically. For example, the maritime industry includes ports, shipping companies, stevedores and tourism and the logistics industry encompasses warehousing, road freight, air freight, freight forwarding and distribution. Additionally, many organisations may have a primary focus on manufacturing or international business, which will necessitate that they have internal departments involved in logistics, supply chain management and international trade, creating more opportunities. With logistics the fastest growing industry globally, there are many possibilities for you to choose.",Australia,Yes,Yes,,Yes,Yes,
