Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
MST,University of Tasmania,Hobart,Master of Agricultural Science (S8A),,,,AUD,Year,,Year,,,,,,,https://www.utas.edu.au/courses/s8a,English,A,,Master of Research degrees are internationally recognised research degrees.,Australia,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MST,University of Tasmania,Hobart,Master of Applied Science (Agricultural Science) (K7J1),College of Sciences and Engineering,"62,983",,AUD,Year,2,Years,IELTS,,,6,,,https://www.utas.edu.au/courses/k7j1,English,A,At the completion of the course you will have:,,Australia,Yes,Yes,,Yes,Yes,,Agricultural Technology and Innovation KLA316,Crop Production KLA257,Microbiology KLA210,Agricultural Landscape Systems KLA381,Applied Environmental Microbiology KLA398,Microbes and Man KLA256,Animal Science KLA326,Crop Protection and Biosecurity KLA311,Pasture and Animal Science KLA211,Crop Physiology KLA214,"The unit explores theoretical and practical technologies and innovations applicable to extensive and intensive animal and plant production systems. These technologies and innovations address current productivity and sustainability challenges and include topics such as precision farming and spray technologies, communication and decisions support technologies, carbon, water and irrigation management. Students will also gain an understanding of the type of innovations required to manage future challenges to agricultural and horticultural industries, especially those associated with the potential impacts of climate variability and change. Students will explore the policy and regulatory frameworks that may influence the development and uptake of new technologies and innovations.","The unit provides students with an overview of Australian horticultural and grain crop production and management. Study includes agroecological aspects of fruit, vegetable and grain crop production in Australia and the growth and development of the major crop species. Principles underlying canopy and nutrient management, flowering and fruit development, yield formation and post-harvest quality are examined.","Provides students with a basic knowledge of microbiology including bacteria, fungi, protozoans and viruses. The unit considers the place of microorganisms in the evolution of life on earth, their structure, chemistry, biology and ecology, and consideration of their role in disease, ecosystems, food production and biotechnology. The practical component provides students with skills in the cultivation and identification of bacteria and fungi, as well as an introduction to techniques in molecular microbiology.","This unit examines agricultural production systems within the context of climate, landscapes and natural resources. Management of soil, land, water and vegetation resources on a catchment and property basis will be covered. Students will develop competency in the assessment of land resources including soil survey, land capability, biodiversity and suitability for agriculture and forestry. A group mapping project will form a major part of the assessment.","Microorganisms out-number all life forms on the planet and greatly impact biological, chemical and physical processes. This unit considers the significance of microorganisms in the ecology of terrestrial and marine environments; microbial diversity and evolution; the role of microbes in global cycles of nitrogen, carbon, phosphorous and iron; interactions with other organisms; applications in agriculture; bioremediation of contaminated land; and modern methods used to study microbial ecology. Assessment tasks include laboratory reports, sequence data analysis, proposal and report documents produced from small group project research, and a final closed book exam.","Microorganisms, though invisibly small, collectively make up the majority of the living matter on Earth and have profound influences on many aspects of our lives. This unit will draw on contemporary and real-world examples to explore the influence and impact of microorganisms - both positive and detrimental - on human activities and aspirations. Students will be briefly introduced to the ecology and biology of the main groups of microorganisms and then to the ways in which microorganisms affect our lives, e.g. through disease of humans, animals and plants, their effects on natural and human-controlled environments, in agriculture and food production and deterioration, and their exploitation in a wide range of (bio)technologies. A range of excursions and tutorial activities and/or group discussions will be used to exemplify the lecture content.","This unit explores animal science within the scope of modern agriculture. During the unit, students will gain knowledge of the science underpinning different aspects of modern animal production. Students will be encouraged to engage with the scientific literature and identify suitable sources of information when completing the assessment tasks.","Studies the principles and practices of management of plant diseases, pests and weeds. Modules of teaching within the unit will include: (1) Weeds (2) Pest and Disease Monitoring and Decision Making (3) Chemicals in Crop Protection (4) Cultural Control and Host Plant Resistance (5) Biological Control and (6) Integrated Pest and Disease Management.","Introduces students to the production and management of pastures and general ruminant nutrition. In the pastures component topics include pasture types and species, pasture establishment, plant growth and development, grass-legume relationships, essential nutrients for pastures, seasonality of production and fodder conservation. The animal component examines the digestive physiology of ruminants compared with monogastrics, basic nutrition (protein, energy, water, vitamins, minerals, etc.), the development of feeding systems, feedstuff analysis, ration formulations, introductory animal breeding and genetics, animal selection methods, alpaca and goat production. Practicals provide experience in pasture assessment and laboratory techniques for the determination of feed quality.","Covers the basic mechanisms of plant function, from the molecular to the whole-plant level. The unit consists of several modules and covers cell physiology, whole-plant physiology, crop growth and development and crop adaptive responses to environment. These modules examine plant--water relations, photosynthetic performance, respiration and transport processes in terms of their effect on crop yield and performance in field conditions. Fundamental issues in plant physiology are studied in relation to principles of crop improvement and optimisation of crop performance.",,,,,,,50101,,,
MST,University of Tasmania,Hobart,Master of Applied Science (Microbiology) (K7J6),College of Sciences and Engineering,"62,983",,AUD,Year,2,Years,IELTS,,,6,,,https://www.utas.edu.au/courses/k7j6,English,A,At the completion of the course you will have:,,Australia,Yes,Yes,,Yes,Yes,,Microbiology KLA210,Advanced Immunology CJA314,Applied Environmental Microbiology KLA398,Medical Microbiology CJA313,Experimental Design and Analysis for Agri-Food Research KLA310,Advanced Food Safety Management KLA394,Basic Pathological Processes and Immunity CJA212,Food Microbiology KLA396,Plant Pathology KLA346,Microbes and Man KLA256,"Provides students with a basic knowledge of microbiology including bacteria, fungi, protozoans and viruses. The unit considers the place of microorganisms in the evolution of life on earth, their structure, chemistry, biology and ecology, and consideration of their role in disease, ecosystems, food production and biotechnology. The practical component provides students with skills in the cultivation and identification of bacteria and fungi, as well as an introduction to techniques in molecular microbiology.","This unit expands on the introductory immunology from KLA210 and CJA212. Areas that will receive extended coverage include advanced immunological mechanisms, the immunopathology of disease, the manipulation of the immune system to protect against infectious and non-infectious disease. Practical and project assignment work will reinforce the concepts covered in the lectures and contribute to the final assessment.","Microorganisms out-number all life forms on the planet and greatly impact biological, chemical and physical processes. This unit considers the significance of microorganisms in the ecology of terrestrial and marine environments; microbial diversity and evolution; the role of microbes in global cycles of nitrogen, carbon, phosphorous and iron; interactions with other organisms; applications in agriculture; bioremediation of contaminated land; and modern methods used to study microbial ecology. Assessment tasks include laboratory reports, sequence data analysis, proposal and report documents produced from small group project research, and a final closed book exam.","This unit will commence with an exploration of the basic concepts of Medical Microbiology. It will then examine the epidemiology of transmissible diseases that are common in healthcare and community settings. The unit will analyse information on the mechanisms through which pathogenic agents colonise a susceptible host and subsequently, elicit clinical symptoms as well as an immune response. This knowledge will provide a basis for critical evaluation of current tools that are available for the prevention, diagnosis and treatment of key infections. Illustrated lectures and tutorials will be used to cover these unit themes. Practical classes will also introduce students to basic laboratory techniques to reinforce the role of microbiologists in the control of infectious diseases. Furthermore, students will investigate advanced topics in medical microbiology and compile their findings in a peer presentation forum.","This unit enables students to plan and complete scientific investigations essential to agricultural research. On completion of this unit, students should be able to: understand the principles of scientific method and formulate a well-defined research hypothesis; design experiments relevant to agricultural settings; make sound judgement in the selection of quantitative scientific methods; apply appropriate statistical analyses using statistical software packages and interpret the output; and effectively present summarised experimental data sets to a wide range of end users, such as agricultural research and development providers, industry and growers.","Food safety management, particularly for microbial hazards, is undergoing revolutionary change internationally. Essentially, a more wholistic approach is being advocated that relies on analysis and synthesis of knowledge and data from several scientific disciplines. The approach is termed 'risk analysis’.","This unit will provide students with the foundation knowledge of pathology by gaining an understanding of the fundamental processes that occur when the human organism undergoes disturbance of its homeostasis. They will gain an appreciation of the ‘one health’ concept of the interrelationships between humans and other living things and their shared environment impacting on human health. The Unit incorporates pathological processes such as cell injury and death, inflammation, healing and neoplasia. Students will gain an understanding of the basic cellular and molecular functions of the immune system in health and disease. Students will be introduced to the range of microorganisms infecting humans and the microbiome, which appears to protect against a growing number of diseases. Students will also learn how the immune system can sometimes be dysregulated and cause significant pathology (immunopathology). Laboratory practical classes will introduce students to basic immunology and pathology techniques that will reinforce material presented during lectures.","This unit equips students with knowledge of the role of microorganisms in the production, deterioration and safety of foods, from both ecological and physiological perspectives, including the effect of temperature, pH, water activity and other factors affecting the growth and decline of microbial cells and populations in foods. Underlying microbiological science will be discussed as well how the food industry uses that information in technologies and strategies for provision of safe, wholesome and enhanced foods that match consumer expectations.  Specific topics include: microbial fermentations and biotechnological applications in foods; spoilage processes and food processing technologies; microbial hazards associated with foods and their physiology and mechanisms of virulence; and current approaches to food safety assurance including HACCP, risk assessment and predictive microbiology.","Advanced topics of plant disease biology and management are the focus of this unit. Topics will be illustrated by diseases caused by viral and virus-like agents, phytopathogenic bacteria and fungi in agricultural and horticultural systems. Topics include infection biology, host resistance, disease transmission, disease epidemiology and detection of pathogens. This unit integrates plant pathology with other disciplines including crop physiology, production and protection. Practical sessions are project-based including group work and field trips.","Microorganisms, though invisibly small, collectively make up the majority of the living matter on Earth and have profound influences on many aspects of our lives. This unit will draw on contemporary and real-world examples to explore the influence and impact of microorganisms - both positive and detrimental - on human activities and aspirations. Students will be briefly introduced to the ecology and biology of the main groups of microorganisms and then to the ways in which microorganisms affect our lives, e.g. through disease of humans, animals and plants, their effects on natural and human-controlled environments, in agriculture and food production and deterioration, and their exploitation in a wide range of (bio)technologies. A range of excursions and tutorial activities and/or group discussions will be used to exemplify the lecture content.",,,,,,,,,,
GCERT,University of Tasmania,Domestic,Graduate Certificate in Timber (Processing & Building) (K5E),College of Sciences and Engineering,"13,725",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/k5e,English,A,The Graduate Certificate in Timber (Processing & Building) aims to develop advanced understanding and skill in the:,"With recent consolidation in Australia's wood production industry, there is considerable industry and employer demand for people skilled in the production of wood products. Also, with increased interest in sustainable construction, opportunities exist for specialists in the design, construction, maintenance and management of timber-rich buildings and structures.",Australia,Yes,Yes,,Yes,Yes,,Board Processing: Hardwood and Softwood KDA506,Timber and Durability in Exposed Applications KDA505,,Engineered Wood Products KDA507,Timber in Building Construction KDA504,,,,,,"Logs from the forests are converted into stable and dry timber useful for construction and other uses, through a multi-stage production process largely determined by the character of the initial resource and the intended market for the final product. This unit provides students wishing to produce solid timber effectively with the principles and practices of this process. It introduces the factors that influence efficient processing strategies before dealing with the major stages of processing solid wood boards from breakdown of the log, through to drying, dry-milling and grading. It highlights the importance of quality control and information management to value recovery, especially the reduction of avoidable degrade in both appearance and structural material.","Design for durability is a critical component of sustainable building construction. As a natural but biodegradable material, timber's durability and resistance to breakdown is related to its natural durability, any treatment applied to improve this durability and the exposure that results from inclusion in a structure. This unit provides students wishing to design or maintain timber structure or elements effectively with the principles and techniques of effective detailing and construction. It introduces the key mechanisms of biodegradation, including breakdown by fire, and the level of hazard expected in particular applications before covering treatment, coating and design options for improved performance and extended service life. This includes performance in bushfire and National Construction Code compliance in buildings of all types.",,"Engineered wood products overcome the size, structural and design constraints inherent in solid wood boards. They open the way for larger spans and more dynamic buildings and structures. This unit provides students wishing to produce and use engineered wood products with the principles and practice of the major production processes and design approaches used in Australia and internationally. It introduces the factors that influence processing strategy and deals with the major stages of engineering wood product manufacture and use for applications in building of varying size. Gluing processes and jointing technologies are often the keys to performance and these connection systems are investigated.","Sustainable development requires greater use of renewable material and the major renewable building materials are timber and associated wood products. However, when they are used, they must satisfy the performance requirements dictated by building regulations, standards of practice and market expectation. This unit introduces students wishing to use timber in building efficiently to the principles, requirements and techniques of current Australian construction with timber. It deals with the current product suite as it is used structurally in low to medium-rise buildings or as an appearance product in buildings of all sizes. As building regulations strongly influence use, the requirements of the National Construction Code of Australia and major framing and grading standards are covered in detail.",,,,,,,,,,,,,,,
MST,University of Tasmania,Launceston,Master of Architecture (D7C),College of Sciences and Engineering,"67,053",,AUD,Year,2,Years,,,,,,,https://www.utas.edu.au/courses/d7c,English,A,"Ideas-led design exploration facilitated by core units linking research agendas to design propositions. Students are empowered to develop original projects working with ideas and inspirations drawn from cutting-edge areas of enquiry, including digital fabrication, heritage and preservation, regional urbanism, Asian modernity, art-architecture intersections, and therapeutic environments.An established national research profile in timber products and construction applications also offers specialised expertise in an area of cutting-edge innovation in sustainable resources and industry.","""I’ve learnt a lot at the University of Tasmania, not only about my own abilities creatively, but also about how the professional world works and how I might fit into that in the future.What I’ve enjoyed most is definitely the people that I’ve met, not only my peers, but the professionals that I’ve had the chance to meet who come in and give us a huge insight into what they do and what kinds of fields we could break in to – that’s been a huge plus I think about studying here.""",Australia,Yes,Yes,,Yes,Yes,,Design Research - Methods KDA408,,,,,,,,,,Design Research: Methods and Design Research: Communication are a suite of two units where you will explore the relationship between research and contemporary design practice and develop key skills in undertaking and communicating design research. The units provide the foundation for Advanced Design Research projects in the Master of Architecture.,,,,,,,,,,2020: $835.00,,,,,,,,,
MST,University of Tasmania,Hobart,Master of Planning (K7P),College of Sciences and Engineering,"69,088",,AUD,Year,2,Years,IELTS,,,6,,,https://www.utas.edu.au/courses/k7p,English,A,"In this professionally accredited course, you will learn theoretical, technical and communication skills required by planning professionals. You will learn a range of essential planning competencies from the legal or statutory side of planning to the bigger picture or strategic side. These two sides of planning, legal and big picture, combine in a powerful way to enable planners to vision and action more sustainable futures.","Something I really appreciate about this course is just how well connected these subjects are with planning professionals. You get great access to the industry, and the depth of knowledge and the complexity of issues that these people are dealing with takes the course beyond the textbook.",Australia,Yes,Yes,,Yes,Yes,,"Critical Planning: Theory, Process and Applications KGA511",,,,,,,,,,"This unit provides a theoretical and conceptual foundation for advanced studies in urban and environmental planning. The unit covers the diverse functions and purposes of planning. You will have the opportunity to think critically about the philosophical and historical underpinnings of planning as a discipline, and the interactions between planning theory, wider social theory and planning practice. Different approaches to planning and their relative merits are considered, especially their importance for informing planning practice. We will examine the roles and responsibilities of planners in different capacities and contexts, including government, non-government and private sectors. Different planning methods such as strategic planning, adaptive planning, and community engagement are evaluated. Australian planning institutions are also reviewed – across federal, state, regional and local planning scales – and we examine relevant policies, processes and legislation. You will participate in practical activities to develop your skills in planning, including data analysis, plan evaluation, site assessment, risk management and project management. Upon successfully completing the unit you will understand what planners do, why we plan, how we plan, who is involved in planning, planning tools and processes, and how we can tell if planning has achieved its goals.",,,,,,,,,,,,,,,,,,,
MST,University of Tasmania,Hobart,Master of Fine Arts (F8A),,,,AUD,Year,,Year,,,,,,,https://www.utas.edu.au/courses/f8a,English,A,,Master of Research degrees are internationally recognised research degrees.,Australia,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MST,University of Tasmania,Hobart,Master of Music (F8C),,,,AUD,Year,,Year,,,,,,,https://www.utas.edu.au/courses/f8c,English,A,,Master of Research degrees are internationally recognised research degrees.,Australia,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCERT,University of Tasmania,Hobart,Graduate Certificate in Business Studies - Domestic (35A2),College of Business & Economics,"17,975",,AUD,Year,0.5,Year,,,,,,,https://www.utas.edu.au/courses/35a2,English,A,"Due to the ongoing response to COVID-19, online study may replace some or all of your on-campus classes. We'll be sure to keep you informed of any changes.","Completion of this program gives students the opportunity to undertake further postgraduate programs with the Tasmanian School of Business and Economics, which may have career change or advancement benefits for graduates.",Australia,Yes,Yes,,Yes,Yes,,Fundamentals of Management BMA501,Foundations of Marketing BMA506,Corporate Sustainability BFA527,Accounting for Managers BFA526,,,,,,,"This unit offers an investigative insight into the fundamentals of management. Encompassing both leadership and organisation theory, a brief history of management theory will be followed by investigations into different theories of organisations that consider topics like social responsibility, the business environment, decision making functions of management, strategic planning and implementation, organisational structures and human resource management, motivation, leadership, control, communications, group dynamics, culture, conflict, time management, internationalism and changing trends in management.","Marketing is a business function that goes beyond the mere act of selling or advertising-it encompasses the entire process through which value is created, captured and offered to customers. It is critical that organisations establish and maintain relationships with customers to achieve and sustain a competitive advantage. In order to compete effectively in an increasingly dynamic global market, managers must be cognisant of the importance of marketing and how it contributes to the achievement of strategic goals.",,"This unit focuses on role of accounting for managers. Students will learn to use financial and management accounting techniques to enable and enhance their decision making. Financial statement analysis will help students make decisions about an organisation’s financial position, performance and cash flow. Students will also explore other forms of corporate reporting and critically evaluate issues of ethics and corporate governance in business.",,,,,,,"Identify and define management theories, concepts and processes operating in a wide range of contexts., Exercise judgement and recommend solutions for complex management issues., Communicate written and oral academic arguments supported by appropriate academic literature.","Explain the fundamentals of marketing and converse in marketing language., Apply theories to understand, assess, and target particular market segments., Analyse marketing mix using fundamental marketing theories., Present in oral and written format analysis of marketing situations.","Understand and compare sustainability concepts from a range of perspectives and understand the relevance of ‘accounting’ to sustainability., Understand the relationship between organisational  responsibilities, accountabilities,and accounting., Be aware of various ways in which social and environmental considerations can be embedded within an organisation, Be  aware  of  various  frameworks  for  reporting  information  about  an organisation’s social and environmental performance and appreciate why an  organisation  reports  such  information,  to  whom  it  is  reported,  what might be reported, and how it might be reported, Be aware of tools that can be used to analyse publicly available sustainability reports., Demonstrate  the  qualities  of  a critical  thinker  and reflective  practitioner and understand the relevance of the material to particular places, including within the Tasmanian context.Demonstrate  the  qualities  of  a critical  thinker  and reflective  practitioner and understand the relevance of the material to particular places, including within the Tasmanian context.","Explain and apply financial accounting in the preparation of simple financial reports., Analyse and critically evaluate information from organisations to make decisions and communicate these through written reports., Explain  and  apply  management  accounting  techniques  for  business  planning, control and capital investment decisions.",,,,,,
GCERT,University of Tasmania,Distance Sydney,Graduate Certificate in Health Service Management (C5I),College of Business & Economics,,,AUD,Year,0.5,Year,,,,,,,https://www.utas.edu.au/courses/c5i,English,A,The Graduate Certificate in Health Service Management is designed to provide health service management professionals from both the public and private sectors with rigorous training focussed on issues of contemporary professional health service management practice.,,Australia,Yes,Yes,,Yes,Yes,,Evidence Informed Decision Making BAA751,"Healthcare Systems, Safety and Quality BAA756",Managing People and the Employment Relationship BMA583,Health Management Research Thesis BAA738,,"Health Ontologies, Terminologies, and Classifications BAA760",,"Health Finance, Economics and Accounting BAA754",Managing Complex Adaptive Healthcare Organisations BAA757,Leading and Managing Healthcare Organisations BAA758,"This unit offers an introduction to the practice of evidence informed decision making in health organisation management and research. Students will develop the skills to critically appraise scientific evidence to inform and improve decision-making. The relationship between managerial epidemiology and concepts such as the social determinants of health, and the distribution and determinants of diseases and other factors relating to health will be explored. Students will improve their ability to identify and assess relevant literature and evidence used in management and research activities. Students will demonstrate the ability to conceptualise and communicate the operational and strategic issues associated with the ethical, and political implications of evidence informed managerial decisions. Students will have opportunities to hear from experts across Australia and participate in industry case studies and analysis.","The purpose of this unit is two-fold. First, to examine the structural arrangements of the organisation of healthcare in Australia. Students will develop an understanding of federal-state relations, and the organisation of acute, primary and aged care services. The challenges for accountability and transparency in the system will be explored. Second, the manifestation of quality and safety in healthcare organisations will be studied. Students will investigate governance, safety, quality, and risk management requirements and systems. Through examining the organisation of care within and across the healthcare system the interrelationships between organisational and clinical aspects of care will be identified. Topics addressed will include the regulation of healthcare, the role of policy and procedures, patient-centred care approaches, and, future challenges for safety and quality. Students will have opportunities to hear from experts across Australia and participate in industry case studies and analysis.","The effective management of human resources is becoming an increasingly vital concern in organisations, whether they are professional practices employing only a few staff, multinational corporations, public sector or not-for-profit organisations. The impact of globalisation, increased competition for talented employees, skills shortages and changing expectations of the employment relationship pose increasingly complex challenges for all organisations.","This unit provides students an opportunity to conduct and report upon a translational research project addressing a contemporary healthcare management issue. Students will be responsible for the effective management of their research team, involving industry and academic supervisors. Students are expected to utilise evidence from the literature to direct their research, and when reporting their findings make a contribution to improving the evidence base. Students will communicate the results of their research project and make specific industry-based recommendations for improving organisational performance. Students will have opportunities to hear from experts across Australia and participate in industry case studies and analysis.",,"This unit will examine the fundamentals in healthcare information. The challenge for health information managers is understanding different ways information systems idenitfy the same concept. Health information management is ensuring shared standard ontology, coding through classifcations and terminologies are in place to allow stakeholders to access, analyse and monitor quality data to enhance decision making for patient care, health service planning, management and healthcare funding, within a safe and secure environment. Comprised of six modules, the unit will enable students to critically evaluate the theory and principles related to ontologies, terminologies, and classifications used in health. Futhermore, students will gain insight into how the classification systems are used in the health care sector and understand the advantages and disadvantages of these different systems. The unit will also explore how the health system utilise these ontologies for performance (e.g. casemix and funding) systems in Australia and internationally. Students will examine the theory and practice related to clinical classification, clinical terminologies, and ontology development. The concept of ethical behaviour is explored in relation to using classification data. Students will have opportunities to hear from experts across Australia and participate in industry case studies and analysis.",,"This unit examines the theories and frequently used techniques of economics, financial and managerial accounting in healthcare organisations. The unit is designed to develop students knowledge and skills for cost efficient and effective decision making based on lessons from both within Australia as well as internationally. Students are exposed to a broad range of topics, including: funding models; supply and demand factors; economic evaluations, financial statements and working capital cycle; budgeting approaches and key performance indicators; long-term investments and ratio analysis; cost allocation; and wastage and value based purchases. Students will have opportunities to hear from experts across Australia and participate in industry case studies and analysis.","This unit investigates theories and strategies for managing and improving complex adaptive healthcare organisations. Models of healthcare organisations will be introduced to analyse their structure, functions, processes and limitations. Complex adaptive systems thinking will be applied to healthcare organisations to understand their actions and points of resistance. Organisational theory will be used to analyse and interpret opportunities and constraints for service delivery. Mechanisms for achieving change through using a range of theories will be reviewed, including complexity and implementation sciences, organisational resilience, reliability and human factors. Students will have opportunities to hear from experts across Australia and participate in industry case studies and analysis.","This unit provides an overview of management concepts and theories to assist in understanding how complex healthcare organisations function. Students are challenged to think about managing conflicting priorities and to reflect on how different lenses afforded by management theory and practice in other industries might be relevant. A range of management issues are examined including leadership, strategic management, change, and stakeholder behaviour. These issues are considered at the individual, team and organisational levels and how they interact with one another. Students will have opportunities to hear from experts across Australia and participate in industry case studies and analysis.","Appraise scientific evidence, to inform management decision making., Critique the relationship between managerial epidemiology and concepts such as the social determinants of health, and the distribution and determinants of diseases and other factors relating to health., Evaluate the appropriate data analysis methods used in management and research activities., Assess the challenges in evidence informed decision making in health organisation management and research., Summarise the operational, strategic and ethical issues associated with evidence informed health management decision making.",,"Demonstrate broad knowledge of human resource management’s function within an organisation including human resource management's role and responsibilities in people management and strategic business decision making., Demonstrate knowledge of human resource management theory and principles and the ability to apply theory and principles to practical employment relations situations, Practice human resource management, Communicate in oral and written formats in the language/lexicon and standard of an human resource management professional.","Construct and manage a translational research project., Evaluate the research findings for improving organisational performance., Assess the research findings to develop the evidence base., Formulate well-reasoned arguments., Produce succinct written accounts of the research project to various stakeholders.",,,,"2020: $1,394.00","Develop knowledge of complex adaptive system theories and implementation sciences., Evaluate how individual, teams and organisations approach service improvement and change., Critique organisational, team and individual actions that promote or detract from resilience and reliability., Distinguish complexity and implementation sciences and their application to healthcare organisations., Conceptualise and judge the effectiveness of human factors theory to manage organisations.","identify the scope of health service organisations and the provision and utilisation of services., identify current problems in the management and leadership of healthcare organisations., identify critical issues in leading and managing health organisations in Australia and internationally., draw upon concepts applicable to the management of change and organisational development and anticipate how management processes and decisions may impact on health system functionality., identify future internal and external challenges facing healthcare organisations."
