Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
MST,Victoria University,Footscray ParkVU Sydney,Master of Applied Information Technology,College of Engineering and Science,"15,450",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/NMIT,English,A,"The Master of Applied Information Technology (NMIT) is a flexible, accredited course, providing advanced training for students with an IT degree. Areas of focus include cyber security, machine learning and data science. You’ll build on your computing skills, preparing for senior IT roles. Hands-on, practical classes let you develop and enhance the skills shaped out of theory. This course provides flexibility through face-to-face and online learning. We focus on solving real-world problems in:",ICT training/ business intelligence/ project management/ data warehousing/ IT consultancy/ networking administration/ networking/ software development/engineering.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,Footscray Park,Master of Applied Science,,"14,850",,AUD,Year,2,Years,,,,,,,https://www.vu.edu.au/courses/international/HREH,English,A,"Develop a capacity for solutions through independent research and problem analysis with the Master of Applied Science. You'll expand and develop specialist knowledge in your chosen field of research and provide evidence of independent thought and the ability to manage a research project. You'll learn how to: Be supported by academic staff with experience in research projects, presenting papers to international conferences and publishing academic journals and books.","management-level positions in industry or government/ research in government laboratories, research institutions or in industry/ employment with a university conducting research/ visiting key international research institutes.",Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,Footscray Park,Master of Arts,,"14,850",,AUD,Year,2,Years,,,,,,,https://www.vu.edu.au/courses/international/HRAT,English,A,"Build on your knowledge in the arts and further your career prospects. VU’s Master of Arts develops your specialist knowledge and opens doors to opportunities in your area of interest and passion. During your postgraduate study, you'll undertake a research project of your choice in the humanities, social sciences or creative arts. You will make a valuable contribution to social knowledge, and improve your job prospects with professional skills that are sought after by employers in the sector.","management-level positions in industry or government/ research in government laboratories, research institutions or in industry/ commissioning editor for a specialist academic journal/ presenting at conferences/ employment with a university conducting research/ visiting key international research institutes.",Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,Footscray Park,Master of Arts (Research),,"12,650",,AUD,Year,2,Years,,,,,,,https://www.vu.edu.au/courses/international/ARXL,English,A,"Undertake a research project to gain a respected masters qualification in the humanities, arts or social sciences. You'll be supported by a large community of academic staff with experience conducting research projects, presenting papers to international conferences, and publishing academic journal articles and books. Our position in the west of Melbourne offers unique opportunities for collaborative research. We have strong connections with community, healthcare and arts organisations, as well as local and national government departments.","journalism, writing or strategic communications/ publishing/ arts administration and management/ government and policy work/ community-sector professional roles/ creative arts.",Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,City FlindersVU Sydney,Graduate Diploma in Business (Accounting),Victoria University Business School,"15,150",,AUD,Year,1,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BGAR,English,A,,"When you graduate, you’ll have valuable and transferable skills for work in a variety of business, finance and accounting roles in Australia and overseas. This course provides a pathway to further study or could lead to a career as a general accountant or assistant accountant.",Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City FlindersVU Sydney,Master of Business (Accounting),Victoria University Business School,"14,700",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMAK,English,A,,general accountant/ taxation accountant/ management accountant.,Australia,Yes,Yes,,Yes,Yes,
GCERT,Victoria University,City Flinders,Graduate Certificate in Business Administration,Victoria University Business School,"16,200",,AUD,Year,0.5,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BTPF,English,A,"Update your business and managements skills and knowledge through our Graduate Certificate in Business Administration. The program is suited to business graduates and to managers qualified in other disciplines. It offers a pathway to postgraduate study in the Master of Business Administration (MBA). You can study at our convenient city campus, or complete your Graduate Certificate in Business Administration 100% online.",marketing/ human resources/ trading/ real estate/ construction/ IT/ consultation/ management.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business Administration,Victoria University Business School,"16,200",,AUD,Year,1.5,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMPF,English,A,"Take your career in business to the next level with a Master of Business Administration (MBA) from Victoria University. Delivered by the Victoria University Business School (VUBS), the Master of Business Administration covers a broad range of business and management disciplines. Tailor your MBA by completing elective units in a particular business area of study. CEO Magazine's 2019 Global Rankings awarded our MBA a Tier One rating by for its excellent lecturers, small class sizes, student diversity, value-for-money and international study options.",chief executive officer/ chief information officer/ marketing/communications director/ human resources director/ financial manager.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business Administration (Professional),Victoria University Business School,"16,200",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMAB,English,A,,Successful completion of course could lead to general management and middle management positions in a variety of industries.,Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,City Flinders,Graduate Diploma in Business Analytics,Victoria University Business School,"14,850",,AUD,Year,1,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BGBI,English,A,"Enhance your professional experience with a Graduate Diploma in Business Analytics from a world-leading ERP systems (SAP) education provider. Victoria University is one of the world's leading institutions in ERP systems (SAP) education as recognised by industry, SAP and academia. Our Graduate Diploma in Business Analytics is tailored to professionals with a base of significant relevant experience, but who do not yet have a bachelor’s degree.","SAP-related fields/ analytics/ business intelligence/ business analysis/ information prediction/ financial, logistics, HR, and supply-chain analysis.",Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business Analytics,Victoria University Business School,"14,850",,AUD,Year,1.5,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMAD,English,A,"Launch a rewarding career in business analytics – combining your ICT skills with business knowledge and SAP systems expertise. Victoria University is a world leader in Enterprise Resource Planning (ERP) systems (SAP) education. We offer an internationally respected and comprehensive business-analytics courses. Our links with the ERP industry are what sets us apart. You’ll have access to the latest business-analytics developments, and real-world experience.",SAP-related fields/ analytics/ business intelligence,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business Analytics (Professional),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMBI,English,A,"Become an industry leader in enterprise resource management planning (ERP) systems and SAP with VU's Master of Business Analytics (Professional). VU's business masters programs are world-class, and highly valued in the industry. We have strong industry connections, offering real-world experience and networking opportunities. During your study, you’ll develop practical, up-to-date knowledge of SAP software. We offer hands-on experience and online access to a comprehensive suite of SAP Business Intelligence/Business Analytics (BI/BA) software applications and technology.","information technology, information systems and computer science graduates looking to gain a foothold in corporate ERP / SAP organisations/ technology analysts looking to move into a career in business analytics/ business analysts looking to move to an SAP based organisation/ SAP professionals looking to expand their career opportunities.",Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business [By Research],,"17,200",,AUD,Year,2,Years,,,,,,,https://www.vu.edu.au/courses/international/BRAM,English,A,,Upon graduation you'll be able to progress to a PhD or Professional Doctorate or be employed as a research assistant or research technician.,Australia,Yes,Yes,,Yes,Yes,
